committee;chamber;congress;year_start;year_end;full_name;first_name;last_name;party;state;role;;
Agriculture Nutrition and Forestry;Senate;117;2021;2022;James Jones;James;Jones;Democrat;GA;Member;;
Agriculture Nutrition and Forestry;Senate;117;2021;2022;William Miller;William;Miller;Republican;HI;Member;;
Agriculture Nutrition and Forestry;Senate;117;2021;2022;Richard Davis;Richard;Davis;Democrat;ID;Member;;
Agriculture Nutrition and Forestry;Senate;117;2021;2022;Joseph Garcia;Joseph;Garcia;Republican;IL;Member;;
Agriculture Nutrition and Forestry;Senate;117;2021;2022;Thomas Rodriguez;Thomas;Rodriguez;Democrat;IN;Member;;
Agriculture Nutrition and Forestry;Senate;117;2021;2022;Charles Wilson;Charles;Wilson;Republican;IA;Member;;
Agriculture Nutrition and Forestry;Senate;117;2021;2022;Christopher Martinez;Christopher;Martinez;Democrat;KS;Member;;
Agriculture Nutrition and Forestry;Senate;117;2021;2022;Daniel Anderson;Daniel;Anderson;Republican;KY;Member;;
Agriculture Nutrition and Forestry;Senate;117;2021;2022;Matthew Taylor;Matthew;Taylor;Democrat;LA;Member;;
Agriculture Nutrition and Forestry;Senate;117;2021;2022;Anthony Thomas;Anthony;Thomas;Republican;ME;Member;;
Agriculture Nutrition and Forestry;Senate;117;2021;2022;Mark Moore;Mark;Moore;Democrat;MD;Member;;
Agriculture Nutrition and Forestry;Senate;117;2021;2022;Donald Jackson;Donald;Jackson;Republican;MA;Member;;
Agriculture Nutrition and Forestry;Senate;117;2021;2022;Steven Martin;Steven;Martin;Democrat;MI;Member;;
Agriculture Nutrition and Forestry;Senate;117;2021;2022;Paul Lee;Paul;Lee;Republican;MN;Member;;
Agriculture Nutrition and Forestry;Senate;117;2021;2022;Andrew Thompson;Andrew;Thompson;Democrat;MS;Member;;
Agriculture Nutrition and Forestry;Senate;118;2023;2024;Debbie Stabenow;Debbie;Stabenow;Democrat;NV;Chair;;
Agriculture Nutrition and Forestry;Senate;118;2023;2024;John Boozman;John;Boozman;Republican;MD;Ranking Member;;
Agriculture Nutrition and Forestry;Senate;118;2023;2024;John Smith;John;Smith;Democrat;CO;Member;;
Agriculture Nutrition and Forestry;Senate;118;2023;2024;Michael Johnson;Michael;Johnson;Republican;CT;Member;;
Agriculture Nutrition and Forestry;Senate;118;2023;2024;David Williams;David;Williams;Democrat;DE;Member;;
Agriculture Nutrition and Forestry;Senate;118;2023;2024;Robert Brown;Robert;Brown;Republican;FL;Member;;
Agriculture Nutrition and Forestry;Senate;118;2023;2024;James Jones;James;Jones;Democrat;GA;Member;;
Agriculture Nutrition and Forestry;Senate;118;2023;2024;William Miller;William;Miller;Republican;HI;Member;;
Agriculture Nutrition and Forestry;Senate;118;2023;2024;Richard Davis;Richard;Davis;Democrat;ID;Member;;
Agriculture Nutrition and Forestry;Senate;118;2023;2024;Joseph Garcia;Joseph;Garcia;Republican;IL;Member;;
Agriculture Nutrition and Forestry;Senate;118;2023;2024;Thomas Rodriguez;Thomas;Rodriguez;Democrat;IN;Member;;
Agriculture Nutrition and Forestry;Senate;118;2023;2024;Charles Wilson;Charles;Wilson;Republican;IA;Member;;
Agriculture Nutrition and Forestry;Senate;118;2023;2024;Christopher Martinez;Christopher;Martinez;Democrat;KS;Member;;
Agriculture Nutrition and Forestry;Senate;118;2023;2024;Daniel Anderson;Daniel;Anderson;Republican;KY;Member;;
Agriculture Nutrition and Forestry;Senate;118;2023;2024;Matthew Taylor;Matthew;Taylor;Democrat;LA;Member;;
Agriculture Nutrition and Forestry;Senate;118;2023;2024;Anthony Thomas;Anthony;Thomas;Republican;ME;Member;;
Agriculture Nutrition and Forestry;Senate;118;2023;2024;Mark Moore;Mark;Moore;Democrat;MD;Member;;
Agriculture Nutrition and Forestry;Senate;118;2023;2024;Donald Jackson;Donald;Jackson;Republican;MA;Member;;
Agriculture Nutrition and Forestry;Senate;118;2023;2024;Steven Martin;Steven;Martin;Democrat;MI;Member;;
Agriculture Nutrition and Forestry;Senate;118;2023;2024;Paul Lee;Paul;Lee;Republican;MN;Member;;
Agriculture Nutrition and Forestry;Senate;118;2023;2024;Andrew Thompson;Andrew;Thompson;Democrat;MS;Member;;
Appropriations;Senate;115;2017;2018;Thad Cochran;Thad;Cochran;Republican;WY;Chair;;
Appropriations;Senate;115;2017;2018;Patrick Leahy;Patrick;Leahy;Democrat;NY;Ranking Member;;
Appropriations;Senate;115;2017;2018;John Smith;John;Smith;Republican;LA;Member;;
Appropriations;Senate;115;2017;2018;Michael Johnson;Michael;Johnson;Democrat;ME;Member;;
Appropriations;Senate;115;2017;2018;David Williams;David;Williams;Republican;MD;Member;;
Appropriations;Senate;115;2017;2018;Robert Brown;Robert;Brown;Democrat;MA;Member;;
Appropriations;Senate;115;2017;2018;James Jones;James;Jones;Republican;MI;Member;;
Appropriations;Senate;115;2017;2018;William Miller;William;Miller;Democrat;MN;Member;;
Appropriations;Senate;115;2017;2018;Richard Davis;Richard;Davis;Republican;MS;Member;;
Appropriations;Senate;115;2017;2018;Joseph Garcia;Joseph;Garcia;Democrat;MO;Member;;
Appropriations;Senate;115;2017;2018;Thomas Rodriguez;Thomas;Rodriguez;Republican;MT;Member;;
Appropriations;Senate;115;2017;2018;Charles Wilson;Charles;Wilson;Democrat;NE;Member;;
Appropriations;Senate;115;2017;2018;Christopher Martinez;Christopher;Martinez;Republican;NV;Member;;
Appropriations;Senate;115;2017;2018;Daniel Anderson;Daniel;Anderson;Democrat;NH;Member;;
Appropriations;Senate;115;2017;2018;Matthew Taylor;Matthew;Taylor;Republican;NJ;Member;;
Appropriations;Senate;115;2017;2018;Anthony Thomas;Anthony;Thomas;Democrat;NM;Member;;
Appropriations;Senate;115;2017;2018;Mark Moore;Mark;Moore;Republican;NY;Member;;
Appropriations;Senate;115;2017;2018;Donald Jackson;Donald;Jackson;Democrat;NC;Member;;
Appropriations;Senate;115;2017;2018;Steven Martin;Steven;Martin;Republican;ND;Member;;
Appropriations;Senate;115;2017;2018;Paul Lee;Paul;Lee;Democrat;OH;Member;;
Appropriations;Senate;115;2017;2018;Andrew Thompson;Andrew;Thompson;Republican;OK;Member;;
Appropriations;Senate;115;2017;2018;Kenneth White;Kenneth;White;Democrat;OR;Member;;
Appropriations;Senate;115;2017;2018;George Harris;George;Harris;Republican;PA;Member;;
Appropriations;Senate;115;2017;2018;Edward Clark;Edward;Clark;Democrat;RI;Member;;
Appropriations;Senate;115;2017;2018;Brian Lewis;Brian;Lewis;Republican;SC;Member;;
Appropriations;Senate;115;2017;2018;Ronald Robinson;Ronald;Robinson;Democrat;SD;Member;;
Appropriations;Senate;115;2017;2018;Timothy Walker;Timothy;Walker;Republican;TN;Member;;
Appropriations;Senate;115;2017;2018;Jason Young;Jason;Young;Democrat;TX;Member;;
Appropriations;Senate;115;2017;2018;Jeffrey Allen;Jeffrey;Allen;Republican;UT;Member;;
Appropriations;Senate;115;2017;2018;Ryan King;Ryan;King;Democrat;VT;Member;;
Appropriations;Senate;115;2017;2018;Jacob Wright;Jacob;Wright;Republican;VA;Member;;
Appropriations;Senate;116;2019;2020;Richard Shelby;Richard;Shelby;Republican;FL;Chair;;
Appropriations;Senate;116;2019;2020;Patrick Leahy;Patrick;Leahy;Democrat;NY;Ranking Member;;
Appropriations;Senate;116;2019;2020;John Smith;John;Smith;Republican;LA;Member;;
Appropriations;Senate;116;2019;2020;Michael Johnson;Michael;Johnson;Democrat;ME;Member;;
Appropriations;Senate;116;2019;2020;David Williams;David;Williams;Republican;MD;Member;;
Appropriations;Senate;116;2019;2020;Robert Brown;Robert;Brown;Democrat;MA;Member;;
Appropriations;Senate;116;2019;2020;James Jones;James;Jones;Republican;MI;Member;;
Appropriations;Senate;116;2019;2020;William Miller;William;Miller;Democrat;MN;Member;;
Appropriations;Senate;116;2019;2020;Richard Davis;Richard;Davis;Republican;MS;Member;;
Appropriations;Senate;116;2019;2020;Joseph Garcia;Joseph;Garcia;Democrat;MO;Member;;
Appropriations;Senate;116;2019;2020;Thomas Rodriguez;Thomas;Rodriguez;Republican;MT;Member;;
Appropriations;Senate;116;2019;2020;Charles Wilson;Charles;Wilson;Democrat;NE;Member;;
Appropriations;Senate;116;2019;2020;Christopher Martinez;Christopher;Martinez;Republican;NV;Member;;
Appropriations;Senate;116;2019;2020;Daniel Anderson;Daniel;Anderson;Democrat;NH;Member;;
Appropriations;Senate;116;2019;2020;Matthew Taylor;Matthew;Taylor;Republican;NJ;Member;;
Appropriations;Senate;116;2019;2020;Anthony Thomas;Anthony;Thomas;Democrat;NM;Member;;
Appropriations;Senate;116;2019;2020;Mark Moore;Mark;Moore;Republican;NY;Member;;
Appropriations;Senate;116;2019;2020;Donald Jackson;Donald;Jackson;Democrat;NC;Member;;
Appropriations;Senate;116;2019;2020;Steven Martin;Steven;Martin;Republican;ND;Member;;
Appropriations;Senate;116;2019;2020;Paul Lee;Paul;Lee;Democrat;OH;Member;;
Appropriations;Senate;116;2019;2020;Andrew Thompson;Andrew;Thompson;Republican;OK;Member;;
Appropriations;Senate;116;2019;2020;Kenneth White;Kenneth;White;Democrat;OR;Member;;
Appropriations;Senate;116;2019;2020;George Harris;George;Harris;Republican;PA;Member;;
Appropriations;Senate;116;2019;2020;Edward Clark;Edward;Clark;Democrat;RI;Member;;
Appropriations;Senate;116;2019;2020;Brian Lewis;Brian;Lewis;Republican;SC;Member;;
Appropriations;Senate;116;2019;2020;Ronald Robinson;Ronald;Robinson;Democrat;SD;Member;;
Appropriations;Senate;116;2019;2020;Timothy Walker;Timothy;Walker;Republican;TN;Member;;
Appropriations;Senate;116;2019;2020;Jason Young;Jason;Young;Democrat;TX;Member;;
Appropriations;Senate;116;2019;2020;Jeffrey Allen;Jeffrey;Allen;Republican;UT;Member;;
Appropriations;Senate;116;2019;2020;Ryan King;Ryan;King;Democrat;VT;Member;;
Appropriations;Senate;116;2019;2020;Jacob Wright;Jacob;Wright;Republican;VA;Member;;
Appropriations;Senate;117;2021;2022;Patrick Leahy;Patrick;Leahy;Democrat;NY;Chair;;
Appropriations;Senate;117;2021;2022;Richard Shelby;Richard;Shelby;Republican;FL;Ranking Member;;
Appropriations;Senate;117;2021;2022;John Smith;John;Smith;Democrat;LA;Member;;
Appropriations;Senate;117;2021;2022;Michael Johnson;Michael;Johnson;Republican;ME;Member;;
Appropriations;Senate;117;2021;2022;David Williams;David;Williams;Democrat;MD;Member;;
Appropriations;Senate;117;2021;2022;Robert Brown;Robert;Brown;Republican;MA;Member;;
Appropriations;Senate;117;2021;2022;James Jones;James;Jones;Democrat;MI;Member;;
Appropriations;Senate;117;2021;2022;William Miller;William;Miller;Republican;MN;Member;;
Appropriations;Senate;117;2021;2022;Richard Davis;Richard;Davis;Democrat;MS;Member;;
Appropriations;Senate;117;2021;2022;Joseph Garcia;Joseph;Garcia;Republican;MO;Member;;
Appropriations;Senate;117;2021;2022;Thomas Rodriguez;Thomas;Rodriguez;Democrat;MT;Member;;
Appropriations;Senate;117;2021;2022;Charles Wilson;Charles;Wilson;Republican;NE;Member;;
Appropriations;Senate;117;2021;2022;Christopher Martinez;Christopher;Martinez;Democrat;NV;Member;;
Appropriations;Senate;117;2021;2022;Daniel Anderson;Daniel;Anderson;Republican;NH;Member;;
Appropriations;Senate;117;2021;2022;Matthew Taylor;Matthew;Taylor;Democrat;NJ;Member;;
Appropriations;Senate;117;2021;2022;Anthony Thomas;Anthony;Thomas;Republican;NM;Member;;
Appropriations;Senate;117;2021;2022;Mark Moore;Mark;Moore;Democrat;NY;Member;;
Appropriations;Senate;117;2021;2022;Donald Jackson;Donald;Jackson;Republican;NC;Member;;
Appropriations;Senate;117;2021;2022;Steven Martin;Steven;Martin;Democrat;ND;Member;;
Appropriations;Senate;117;2021;2022;Paul Lee;Paul;Lee;Republican;OH;Member;;
Appropriations;Senate;117;2021;2022;Andrew Thompson;Andrew;Thompson;Democrat;OK;Member;;
Appropriations;Senate;117;2021;2022;Kenneth White;Kenneth;White;Republican;OR;Member;;
Appropriations;Senate;117;2021;2022;George Harris;George;Harris;Democrat;PA;Member;;
Appropriations;Senate;117;2021;2022;Edward Clark;Edward;Clark;Republican;RI;Member;;
Appropriations;Senate;117;2021;2022;Brian Lewis;Brian;Lewis;Democrat;SC;Member;;
Appropriations;Senate;117;2021;2022;Ronald Robinson;Ronald;Robinson;Republican;SD;Member;;
Appropriations;Senate;117;2021;2022;Timothy Walker;Timothy;Walker;Democrat;TN;Member;;
Appropriations;Senate;117;2021;2022;Jason Young;Jason;Young;Republican;TX;Member;;
Appropriations;Senate;117;2021;2022;Jeffrey Allen;Jeffrey;Allen;Democrat;UT;Member;;
Appropriations;Senate;117;2021;2022;Ryan King;Ryan;King;Republican;VT;Member;;
Appropriations;Senate;117;2021;2022;Jacob Wright;Jacob;Wright;Democrat;VA;Member;;
Appropriations;Senate;118;2023;2024;Patty Murray;Patty;Murray;Democrat;MS;Chair;;
Appropriations;Senate;118;2023;2024;Susan Collins;Susan;Collins;Republican;PA;Ranking Member;;
Appropriations;Senate;118;2023;2024;John Smith;John;Smith;Democrat;LA;Member;;
Appropriations;Senate;118;2023;2024;Michael Johnson;Michael;Johnson;Republican;ME;Member;;
Appropriations;Senate;118;2023;2024;David Williams;David;Williams;Democrat;MD;Member;;
Appropriations;Senate;118;2023;2024;Robert Brown;Robert;Brown;Republican;MA;Member;;
Appropriations;Senate;118;2023;2024;James Jones;James;Jones;Democrat;MI;Member;;
Appropriations;Senate;118;2023;2024;William Miller;William;Miller;Republican;MN;Member;;
Appropriations;Senate;118;2023;2024;Richard Davis;Richard;Davis;Democrat;MS;Member;;
Appropriations;Senate;118;2023;2024;Joseph Garcia;Joseph;Garcia;Republican;MO;Member;;
Appropriations;Senate;118;2023;2024;Thomas Rodriguez;Thomas;Rodriguez;Democrat;MT;Member;;
Appropriations;Senate;118;2023;2024;Charles Wilson;Charles;Wilson;Republican;NE;Member;;
Appropriations;Senate;118;2023;2024;Christopher Martinez;Christopher;Martinez;Democrat;NV;Member;;
Appropriations;Senate;118;2023;2024;Daniel Anderson;Daniel;Anderson;Republican;NH;Member;;
Appropriations;Senate;118;2023;2024;Matthew Taylor;Matthew;Taylor;Democrat;NJ;Member;;
Appropriations;Senate;118;2023;2024;Anthony Thomas;Anthony;Thomas;Republican;NM;Member;;
Appropriations;Senate;118;2023;2024;Mark Moore;Mark;Moore;Democrat;NY;Member;;
Appropriations;Senate;118;2023;2024;Donald Jackson;Donald;Jackson;Republican;NC;Member;;
Appropriations;Senate;118;2023;2024;Steven Martin;Steven;Martin;Democrat;ND;Member;;
Appropriations;Senate;118;2023;2024;Paul Lee;Paul;Lee;Republican;OH;Member;;
Appropriations;Senate;118;2023;2024;Andrew Thompson;Andrew;Thompson;Democrat;OK;Member;;
Appropriations;Senate;118;2023;2024;Kenneth White;Kenneth;White;Republican;OR;Member;;
Appropriations;Senate;118;2023;2024;George Harris;George;Harris;Democrat;PA;Member;;
Appropriations;Senate;118;2023;2024;Edward Clark;Edward;Clark;Republican;RI;Member;;
Appropriations;Senate;118;2023;2024;Brian Lewis;Brian;Lewis;Democrat;SC;Member;;
Appropriations;Senate;118;2023;2024;Ronald Robinson;Ronald;Robinson;Republican;SD;Member;;
Appropriations;Senate;118;2023;2024;Timothy Walker;Timothy;Walker;Democrat;TN;Member;;
Appropriations;Senate;118;2023;2024;Jason Young;Jason;Young;Republican;TX;Member;;
Appropriations;Senate;118;2023;2024;Jeffrey Allen;Jeffrey;Allen;Democrat;UT;Member;;
Appropriations;Senate;118;2023;2024;Ryan King;Ryan;King;Republican;VT;Member;;
Appropriations;Senate;118;2023;2024;Jacob Wright;Jacob;Wright;Democrat;VA;Member;;
Armed Services;Senate;115;2017;2018;John McCain;John;McCain;Republican;AR;Chair;;
Armed Services;Senate;115;2017;2018;Jack Reed;Jack;Reed;Democrat;AK;Ranking Member;;
Armed Services;Senate;115;2017;2018;John Smith;John;Smith;Republican;WY;Member;;
Armed Services;Senate;115;2017;2018;Michael Johnson;Michael;Johnson;Democrat;AL;Member;;
Armed Services;Senate;115;2017;2018;David Williams;David;Williams;Republican;AK;Member;;
Armed Services;Senate;115;2017;2018;Robert Brown;Robert;Brown;Democrat;AZ;Member;;
Armed Services;Senate;115;2017;2018;James Jones;James;Jones;Republican;AR;Member;;
Armed Services;Senate;115;2017;2018;William Miller;William;Miller;Democrat;CA;Member;;
Armed Services;Senate;115;2017;2018;Richard Davis;Richard;Davis;Republican;CO;Member;;
Armed Services;Senate;115;2017;2018;Joseph Garcia;Joseph;Garcia;Democrat;CT;Member;;
Armed Services;Senate;115;2017;2018;Thomas Rodriguez;Thomas;Rodriguez;Republican;DE;Member;;
Armed Services;Senate;115;2017;2018;Charles Wilson;Charles;Wilson;Democrat;FL;Member;;
Armed Services;Senate;115;2017;2018;Christopher Martinez;Christopher;Martinez;Republican;GA;Member;;
Armed Services;Senate;115;2017;2018;Daniel Anderson;Daniel;Anderson;Democrat;HI;Member;;
Armed Services;Senate;115;2017;2018;Matthew Taylor;Matthew;Taylor;Republican;ID;Member;;
Armed Services;Senate;115;2017;2018;Anthony Thomas;Anthony;Thomas;Democrat;IL;Member;;
Armed Services;Senate;115;2017;2018;Mark Moore;Mark;Moore;Republican;IN;Member;;
Armed Services;Senate;115;2017;2018;Donald Jackson;Donald;Jackson;Democrat;IA;Member;;
Armed Services;Senate;115;2017;2018;Steven Martin;Steven;Martin;Republican;KS;Member;;
Armed Services;Senate;115;2017;2018;Paul Lee;Paul;Lee;Democrat;KY;Member;;
Armed Services;Senate;115;2017;2018;Andrew Thompson;Andrew;Thompson;Republican;LA;Member;;
Armed Services;Senate;115;2017;2018;Kenneth White;Kenneth;White;Democrat;ME;Member;;
Armed Services;Senate;115;2017;2018;George Harris;George;Harris;Republican;MD;Member;;
Armed Services;Senate;115;2017;2018;Edward Clark;Edward;Clark;Democrat;MA;Member;;
Armed Services;Senate;115;2017;2018;Brian Lewis;Brian;Lewis;Republican;MI;Member;;
Armed Services;Senate;115;2017;2018;Ronald Robinson;Ronald;Robinson;Democrat;MN;Member;;
Armed Services;Senate;115;2017;2018;Timothy Walker;Timothy;Walker;Republican;MS;Member;;
Armed Services;Senate;116;2019;2020;James Inhofe;James;Inhofe;Republican;MO;Chair;;
Armed Services;Senate;116;2019;2020;Jack Reed;Jack;Reed;Democrat;AK;Ranking Member;;
Armed Services;Senate;116;2019;2020;John Smith;John;Smith;Republican;WY;Member;;
Armed Services;Senate;116;2019;2020;Michael Johnson;Michael;Johnson;Democrat;AL;Member;;
Armed Services;Senate;116;2019;2020;David Williams;David;Williams;Republican;AK;Member;;
Armed Services;Senate;116;2019;2020;Robert Brown;Robert;Brown;Democrat;AZ;Member;;
Armed Services;Senate;116;2019;2020;James Jones;James;Jones;Republican;AR;Member;;
Armed Services;Senate;116;2019;2020;William Miller;William;Miller;Democrat;CA;Member;;
Armed Services;Senate;116;2019;2020;Richard Davis;Richard;Davis;Republican;CO;Member;;
Armed Services;Senate;116;2019;2020;Joseph Garcia;Joseph;Garcia;Democrat;CT;Member;;
Armed Services;Senate;116;2019;2020;Thomas Rodriguez;Thomas;Rodriguez;Republican;DE;Member;;
Armed Services;Senate;116;2019;2020;Charles Wilson;Charles;Wilson;Democrat;FL;Member;;
Armed Services;Senate;116;2019;2020;Christopher Martinez;Christopher;Martinez;Republican;GA;Member;;
Armed Services;Senate;116;2019;2020;Daniel Anderson;Daniel;Anderson;Democrat;HI;Member;;
Armed Services;Senate;116;2019;2020;Matthew Taylor;Matthew;Taylor;Republican;ID;Member;;
Armed Services;Senate;116;2019;2020;Anthony Thomas;Anthony;Thomas;Democrat;IL;Member;;
Armed Services;Senate;116;2019;2020;Mark Moore;Mark;Moore;Republican;IN;Member;;
Armed Services;Senate;116;2019;2020;Donald Jackson;Donald;Jackson;Democrat;IA;Member;;
Armed Services;Senate;116;2019;2020;Steven Martin;Steven;Martin;Republican;KS;Member;;
Armed Services;Senate;116;2019;2020;Paul Lee;Paul;Lee;Democrat;KY;Member;;
Armed Services;Senate;116;2019;2020;Andrew Thompson;Andrew;Thompson;Republican;LA;Member;;
Armed Services;Senate;116;2019;2020;Kenneth White;Kenneth;White;Democrat;ME;Member;;
Armed Services;Senate;116;2019;2020;George Harris;George;Harris;Republican;MD;Member;;
Armed Services;Senate;116;2019;2020;Edward Clark;Edward;Clark;Democrat;MA;Member;;
Armed Services;Senate;116;2019;2020;Brian Lewis;Brian;Lewis;Republican;MI;Member;;
Armed Services;Senate;116;2019;2020;Ronald Robinson;Ronald;Robinson;Democrat;MN;Member;;
Armed Services;Senate;116;2019;2020;Timothy Walker;Timothy;Walker;Republican;MS;Member;;
Armed Services;Senate;117;2021;2022;Jack Reed;Jack;Reed;Democrat;AK;Chair;;
Armed Services;Senate;117;2021;2022;James Inhofe;James;Inhofe;Republican;MO;Ranking Member;;
Armed Services;Senate;117;2021;2022;John Smith;John;Smith;Democrat;WY;Member;;
Armed Services;Senate;117;2021;2022;Michael Johnson;Michael;Johnson;Republican;AL;Member;;
Armed Services;Senate;117;2021;2022;David Williams;David;Williams;Democrat;AK;Member;;
Armed Services;Senate;117;2021;2022;Robert Brown;Robert;Brown;Republican;AZ;Member;;
Armed Services;Senate;117;2021;2022;James Jones;James;Jones;Democrat;AR;Member;;
Armed Services;Senate;117;2021;2022;William Miller;William;Miller;Republican;CA;Member;;
Armed Services;Senate;117;2021;2022;Richard Davis;Richard;Davis;Democrat;CO;Member;;
Armed Services;Senate;117;2021;2022;Joseph Garcia;Joseph;Garcia;Republican;CT;Member;;
Armed Services;Senate;117;2021;2022;Thomas Rodriguez;Thomas;Rodriguez;Democrat;DE;Member;;
Armed Services;Senate;117;2021;2022;Charles Wilson;Charles;Wilson;Republican;FL;Member;;
Armed Services;Senate;117;2021;2022;Christopher Martinez;Christopher;Martinez;Democrat;GA;Member;;
Armed Services;Senate;117;2021;2022;Daniel Anderson;Daniel;Anderson;Republican;HI;Member;;
Armed Services;Senate;117;2021;2022;Matthew Taylor;Matthew;Taylor;Democrat;ID;Member;;
Armed Services;Senate;117;2021;2022;Anthony Thomas;Anthony;Thomas;Republican;IL;Member;;
Armed Services;Senate;117;2021;2022;Mark Moore;Mark;Moore;Democrat;IN;Member;;
