committee;chamber;congress;year_start;year_end;full_name;first_name;last_name;party;state;role
Asignaciones;Senate;119;2025;2026;Chris Coons;Chris;Coons;Democrat;Delaware;Subcommittee Ranking
Asignaciones;Senate;119;2025;2026;John Kennedy;John;Kennedy;Republican;Luisiana;Subcommittee Chair
Asignaciones;Senate;119;2025;2026;Bill Hagerty;Bill;Hagerty;Republican;Tennessee;Subcommittee Chair
Asignaciones;Senate;119;2025;2026;Jack Reed;Jack;Reed;Democrat;Rhode Island;Subcommittee Ranking
Asignaciones;Senate;119;2025;2026;Katie Britt;Katie;Britt;Republican;Alabama;Subcommittee Chair
Asignaciones;Senate;119;2025;2026;Chris Murphy;Chris;Murphy;Democrat;Connecticut;Subcommittee Ranking
Asignaciones;Senate;119;2025;2026;Lisa Murkowski;Lisa;Murkowski;Republican;Alaska;Subcommittee Chair
Asignaciones;Senate;119;2025;2026;Jeff Merkley;Jeff;Merkley;Democrat;Oregon;Subcommittee Ranking
Asignaciones;Senate;119;2025;2026;Shelley Moore Capito;Shelley;Moore Capito;Republican;Virginia Occidental;Subcommittee Chair
Asignaciones;Senate;119;2025;2026;Tammy Baldwin;Tammy;Baldwin;Democrat;Wisconsin;Subcommittee Ranking
Asignaciones;Senate;119;2025;2026;Markwayne Mullin;Markwayne;Mullin;Republican;Oklahoma;Subcommittee Chair
Asignaciones;Senate;119;2025;2026;Martín Heinrich;Martín;Heinrich;Democrat;Nuevo México;Subcommittee Ranking
Asignaciones;Senate;119;2025;2026;John Boozman;John;Boozman;Republican;Arkansas;Subcommittee Chair
Asignaciones;Senate;119;2025;2026;Jon Ossoff;Jon;Ossoff;Democrat;Georgia;Subcommittee Ranking
Asignaciones;Senate;119;2025;2026;Lindsey Graham;Lindsey;Graham;Republican;Carolina del Sur;Subcommittee Chair
Asignaciones;Senate;119;2025;2026;Brian Schatz;Brian;Schatz;Democrat;Hawái;Subcommittee Ranking
Asignaciones;Senate;119;2025;2026;Cindy Hyde-Smith;Cindy;Hyde-Smith;Republican;;Subcommittee Chair
Asignaciones;Senate;119;2025;2026;Kirsten Gillibrand;Kirsten;Gillibrand;Democrat;Nueva York;Subcommittee Ranking
Servicios armados;Senate;119;2025;2026;Roger Wicker;Roger;Wicker;Republican;Mississippi;Chair
Servicios armados;Senate;119;2025;2026;Jack Reed;Jack;Reed;Democrat;Rhode Island;Ranking Member
Servicios armados;Senate;119;2025;2026;Kevin Cramer;Kevin;Cramer;Republican;Dakota del Norte;Subcommittee Chair
Servicios armados;Senate;119;2025;2026;Mark Kelly;Mark;Kelly;Democrat;Arizona;Subcommittee Ranking
Servicios armados;Senate;119;2025;2026;Mike Rounds;Mike;Rounds;Republican;Dakota del Sur;Subcommittee Chair
Servicios armados;Senate;119;2025;2026;Jacky Rosen;Jacky;Rosen;Democrat;Nevada;Subcommittee Ranking
Servicios armados;Senate;119;2025;2026;Joni Ernst;Joni;Ernst;Republican;Iowa;Subcommittee Chair
Servicios armados;Senate;119;2025;2026;Elissa Slotkin;Elissa;Slotkin;Democrat;Michigan;Subcommittee Ranking
Servicios armados;Senate;119;2025;2026;Tommy Tuberville;Tommy;Tuberville;Republican;Alabama;Subcommittee Chair
Servicios armados;Senate;119;2025;2026;Elizabeth Warren;Elizabeth;Warren;Democrat;Massachusetts;Subcommittee Ranking
Servicios armados;Senate;119;2025;2026;Dan Sullivan;Dan;Sullivan;Republican;Alaska;Subcommittee Chair
Servicios armados;Senate;119;2025;2026;Mazie Hirono;Mazie;Hirono;Democrat;Hawái;Subcommittee Ranking
Servicios armados;Senate;119;2025;2026;Rick Scott;Rick;Scott;Republican;Florida;Subcommittee Chair
Servicios armados;Senate;119;2025;2026;Tim Kaine;Tim;Kaine;Democrat;Virginia;Subcommittee Ranking
Servicios armados;Senate;119;2025;2026;Deb Fischer;Deb;Fischer;Republican;Nebraska;Subcommittee Chair
Servicios armados;Senate;119;2025;2026;Angus King;Angus;King;Independent;ME;Subcommittee Ranking
Banca, Vivienda y Asuntos Urbanos;Senate;119;2025;2026;Tim Scott;Tim;Scott;Republican;Carolina del Sur;Chair
Banca, Vivienda y Asuntos Urbanos;Senate;119;2025;2026;Elizabeth Warren;Elizabeth;Warren;Democrat;Massachusetts;Ranking Member
Banca, Vivienda y Asuntos Urbanos;Senate;119;2025;2026;Cynthia Lummis;Cynthia;Lummis;Republican;Wyoming;Subcommittee Chair
Banca, Vivienda y Asuntos Urbanos;Senate;119;2025;2026;Rubén Gallego;Rubén;Gallego;Democrat;AZ;Subcommittee Ranking
Banca, Vivienda y Asuntos Urbanos;Senate;119;2025;2026;John Kennedy;John;Kennedy;Republican;Luisiana;Subcommittee Chair
Banca, Vivienda y Asuntos Urbanos;Senate;119;2025;2026;Rafael Warnock;Rafael;Warnock;Democrat;Georgia;Subcommittee Ranking
Banca, Vivienda y Asuntos Urbanos;Senate;119;2025;2026;Thom Tillis;Thom;Tillis;Republican;Carolina del Norte;Subcommittee Chair
Banca, Vivienda y Asuntos Urbanos;Senate;119;2025;2026;Catherine Cortez Masto;Catherine;Cortez Masto;Democrat;Nevada;Subcommittee Ranking
Banca, Vivienda y Asuntos Urbanos;Senate;119;2025;2026;Katie Britt;Katie;Britt;Republican;Alabama;Subcommittee Chair
Banca, Vivienda y Asuntos Urbanos;Senate;119;2025;2026;Tina Smith;Tina;Smith;Democrat;Minnesota;Subcommittee Ranking
Banca, Vivienda y Asuntos Urbanos;Senate;119;2025;2026;Bill Hagerty;Bill;Hagerty;Republican;Tennessee;Subcommittee Chair
Banca, Vivienda y Asuntos Urbanos;Senate;119;2025;2026;Andy Kim;Andy;Kim;Democrat;Nueva Jersey;Subcommittee Ranking
Banca, Vivienda y Asuntos Urbanos;Senate;119;2025;2026;Mike Rounds;Mike;Rounds;Republican;Dakota del Sur;Subcommittee Chair
Banca, Vivienda y Asuntos Urbanos;Senate;119;2025;2026;Mark Warner;Mark;Warner;Democrat;Virginia;Subcommittee Ranking
Presupuesto;Senate;119;2025;2026;Lindsey Graham;Lindsey;Graham;Republican;Carolina del Sur;Chair
Presupuesto;Senate;119;2025;2026;Jeff Merkley;Jeff;Merkley;Democrat;Oregon;Ranking Member
Comercio, Ciencia y Transporte;Senate;119;2025;2026;Ted Cruz;Ted;Cruz;Republican;Texas;Chair
Comercio, Ciencia y Transporte;Senate;119;2025;2026;María Cantwell;María;Cantwell;Democrat;Washington;Ranking Member
Comercio, Ciencia y Transporte;Senate;119;2025;2026;Jerry Moran;Jerry;Moran;Republican;Kansas;Subcommittee Chair
Comercio, Ciencia y Transporte;Senate;119;2025;2026;Tammy Duckworth;Tammy;Duckworth;Democrat;Illinois;Subcommittee Ranking
Comercio, Ciencia y Transporte;Senate;119;2025;2026;Dan Sullivan;Dan;Sullivan;Republican;Alaska;Subcommittee Chair
Comercio, Ciencia y Transporte;Senate;119;2025;2026;Lisa Blunt Rochester;Lisa;Blunt Rochester;Democrat;Delaware;Subcommittee Ranking
Comercio, Ciencia y Transporte;Senate;119;2025;2026;Marsha Blackburn;Marsha;Blackburn;Republican;Tennessee;Subcommittee Chair
Comercio, Ciencia y Transporte;Senate;119;2025;2026;John Hickenlooper;John;Hickenlooper;Democrat;Colorado;Subcommittee Ranking
Comercio, Ciencia y Transporte;Senate;119;2025;2026;Ted Budd;Ted;Budd;Republican;Carolina del Norte;Subcommittee Chair
Comercio, Ciencia y Transporte;Senate;119;2025;2026;Tammy Baldwin;Tammy;Baldwin;Democrat;Wisconsin;Subcommittee Ranking
Comercio, Ciencia y Transporte;Senate;119;2025;2026;Todd Young;Todd;Young;Republican;Indiana;Subcommittee Chair
Comercio, Ciencia y Transporte;Senate;119;2025;2026;Gary Peters;Gary;Peters;Democrat;Michigan;Subcommittee Ranking
Comercio, Ciencia y Transporte;Senate;119;2025;2026;Deb Fischer;Deb;Fischer;Republican;Nebraska;Subcommittee Chair
Comercio, Ciencia y Transporte;Senate;119;2025;2026;Ben Ray Luján;Ben;Ray Luján;Democrat;Nuevo México;Subcommittee Ranking
Energía y recursos naturales;Senate;119;2025;2026;Mike Lee;Mike;Lee;Republican;Utah;Chair
Energía y recursos naturales;Senate;119;2025;2026;Martín Heinrich;Martín;Heinrich;Democrat;Nuevo México;Ranking Member
Energía y recursos naturales;Senate;119;2025;2026;Dave McCormick;Dave;McCormick;Republican;Pensilvania;Subcommittee Chair
Energía y recursos naturales;Senate;119;2025;2026;Rubén Gallego;Rubén;Gallego;Democrat;AZ;Subcommittee Ranking
Energía y recursos naturales;Senate;119;2025;2026;Steve Daines;Steve;Daines;Republican;Montana;Subcommittee Chair
Energía y recursos naturales;Senate;119;2025;2026;Angus King;Angus;King;Independent;ME;Subcommittee Ranking
Energía y recursos naturales;Senate;119;2025;2026;John Barrasso;John;Barrasso;Republican;Wyoming;Subcommittee Chair
Energía y recursos naturales;Senate;119;2025;2026;Catherine Cortez Masto;Catherine;Cortez Masto;Democrat;Nevada;Subcommittee Ranking
Energía y recursos naturales;Senate;119;2025;2026;John Hoeven;John;Hoeven;Republican;Dakota del Norte;Subcommittee Chair
Energía y recursos naturales;Senate;119;2025;2026;Ron Wyden;Ron;Wyden;Democrat;Oregon;Subcommittee Ranking
Medio Ambiente y Obras Públicas;Senate;119;2025;2026;Shelley Moore Capito;Shelley;Moore Capito;Republican;Virginia Occidental;Chair
Medio Ambiente y Obras Públicas;Senate;119;2025;2026;Sheldon Whitehouse;Sheldon;Whitehouse;Democrat;Rhode Island;Ranking Member
Medio Ambiente y Obras Públicas;Senate;119;2025;2026;John Curtis;John;Curtis;Republican;Utah;Subcommittee Chair
Medio Ambiente y Obras Públicas;Senate;119;2025;2026;Jeff Merkley;Jeff;Merkley;Democrat;Oregon;Subcommittee Ranking
Medio Ambiente y Obras Públicas;Senate;119;2025;2026;Cynthia Lummis;Cynthia;Lummis;Republican;Wyoming;Subcommittee Chair
Medio Ambiente y Obras Públicas;Senate;119;2025;2026;Mark Kelly;Mark;Kelly;Democrat;Arizona;Subcommittee Ranking
Medio Ambiente y Obras Públicas;Senate;119;2025;2026;Pete Ricketts;Pete;Ricketts;Republican;Nebraska;Subcommittee Chair
Medio Ambiente y Obras Públicas;Senate;119;2025;2026;Adam Schiff;Adam;Schiff;Democrat;California;Subcommittee Ranking
Medio Ambiente y Obras Públicas;Senate;119;2025;2026;Kevin Cramer;Kevin;Cramer;Republican;Dakota del Norte;Subcommittee Chair
Medio Ambiente y Obras Públicas;Senate;119;2025;2026;Angela Alsobrooks;Angela;Alsobrooks;Democrat;Maryland;Subcommittee Ranking
Finanzas;Senate;119;2025;2026;Mike Crapo;Mike;Crapo;Republican;Idaho;Chair
Finanzas;Senate;119;2025;2026;Ron Wyden;Ron;Wyden;Democrat;Oregon;Ranking Member
Finanzas;Senate;119;2025;2026;James Lankford;James;Lankford;Republican;Oklahoma;Subcommittee Chair
Finanzas;Senate;119;2025;2026;María Cantwell;María;Cantwell;Democrat;Washington;Subcommittee Ranking
Finanzas;Senate;119;2025;2026;Ron Johnson;Ron;Johnson;Republican;Wisconsin;Subcommittee Chair
Finanzas;Senate;119;2025;2026;Tina Smith;Tina;Smith;Democrat;Minnesota;Subcommittee Ranking
Finanzas;Senate;119;2025;2026;Todd Young;Todd;Young;Republican;Indiana;Subcommittee Chair
Finanzas;Senate;119;2025;2026;Maggie Hassan;Maggie;Hassan;Democrat;New Hampshire;Subcommittee Ranking
Finanzas;Senate;119;2025;2026;John Cornyn;John;Cornyn;Republican;Texas;Subcommittee Chair
Finanzas;Senate;119;2025;2026;Rafael Warnock;Rafael;Warnock;Democrat;Georgia;Subcommittee Ranking
Finanzas;Senate;119;2025;2026;Chuck Grassley;Chuck;Grassley;Republican;Iowa;Subcommittee Chair
Finanzas;Senate;119;2025;2026;Bernie Sanders;Bernie;Sanders;Independent;Vermont;Subcommittee Ranking
Finanzas;Senate;119;2025;2026;John Barrasso;John;Barrasso;Republican;Wyoming;Subcommittee Chair
Finanzas;Senate;119;2025;2026;Michael Bennett;Michael;Bennett;Democrat;Colorado;Subcommittee Ranking
Relaciones Exteriores;Senate;119;2025;2026;Jim Risch;Jim;Risch;Republican;Idaho;Chair
Relaciones Exteriores;Senate;119;2025;2026;Jeanne Shaheen;Jeanne;Shaheen;Democrat;New Hampshire;Ranking Member
Relaciones Exteriores;Senate;119;2025;2026;Ted Cruz;Ted;Cruz;Republican;Texas;Subcommittee Chair
Relaciones Exteriores;Senate;119;2025;2026;Cory Booker;Cory;Booker;Democrat;Nueva Jersey;Subcommittee Ranking
Relaciones Exteriores;Senate;119;2025;2026;Pete Ricketts;Pete;Ricketts;Republican;Nebraska;Subcommittee Chair
Relaciones Exteriores;Senate;119;2025;2026;Chris Coons;Chris;Coons;Democrat;Delaware;Subcommittee Ranking
Relaciones Exteriores;Senate;119;2025;2026;Steve Daines;Steve;Daines;Republican;Montana;Subcommittee Chair
Relaciones Exteriores;Senate;119;2025;2026;Chris Murphy;Chris;Murphy;Democrat;Connecticut;Subcommittee Ranking
Relaciones Exteriores;Senate;119;2025;2026;Mike Lee;Mike;Lee;Republican;Utah;Subcommittee Chair
Relaciones Exteriores;Senate;119;2025;2026;Tammy Duckworth;Tammy;Duckworth;Democrat;Illinois;Subcommittee Ranking
Relaciones Exteriores;Senate;119;2025;2026;Dave McCormick;Dave;McCormick;Republican;Pensilvania;Subcommittee Chair
Relaciones Exteriores;Senate;119;2025;2026;Jacky Rosen;Jacky;Rosen;Democrat;Nevada;Subcommittee Ranking
Relaciones Exteriores;Senate;119;2025;2026;Bill Hagerty;Bill;Hagerty;Republican;Tennessee;Subcommittee Chair
Relaciones Exteriores;Senate;119;2025;2026;Chris Van Hollen;Chris;Van Hollen;Democrat;Maryland;Subcommittee Ranking
Relaciones Exteriores;Senate;119;2025;2026;John Curtis;John;Curtis;Republican;Utah;Subcommittee Chair
Relaciones Exteriores;Senate;119;2025;2026;Tim Kaine;Tim;Kaine;Democrat;Virginia;Subcommittee Ranking
Salud, Educación, Trabajo y Pensiones;Senate;119;2025;2026;Bill Cassidy;Bill;Cassidy;Republican;Luisiana;Chair
Salud, Educación, Trabajo y Pensiones;Senate;119;2025;2026;Bernie Sanders;Bernie;Sanders;Independent;Vermont;Ranking Member
Salud, Educación, Trabajo y Pensiones;Senate;119;2025;2026;Tommy Tuberville;Tommy;Tuberville;Republican;Alabama;Subcommittee Chair
Salud, Educación, Trabajo y Pensiones;Senate;119;2025;2026;Lisa Blunt Rochester;Lisa;Blunt Rochester;Democrat;Delaware;Subcommittee Ranking
Salud, Educación, Trabajo y Pensiones;Senate;119;2025;2026;Markwayne Mullin;Markwayne;Mullin;Republican;Oklahoma;Subcommittee Chair
Salud, Educación, Trabajo y Pensiones;Senate;119;2025;2026;John Hickenlooper;John;Hickenlooper;Democrat;Colorado;Subcommittee Ranking
Salud, Educación, Trabajo y Pensiones;Senate;119;2025;2026;Roger Marshall;Roger;Marshall;Republican;Kansas;Subcommittee Chair
Salud, Educación, Trabajo y Pensiones;Senate;119;2025;2026;Ed Markey;Ed;Markey;Democrat;Massachusetts;Subcommittee Ranking
Seguridad Nacional y Asuntos Gubernamentales;Senate;119;2025;2026;Rand Paul;Rand;Paul;Republican;Kentucky;Chair
Seguridad Nacional y Asuntos Gubernamentales;Senate;119;2025;2026;Gary Peters;Gary;Peters;Democrat;Michigan;Ranking Member
Seguridad Nacional y Asuntos Gubernamentales;Senate;119;2025;2026;James Lankford;James;Lankford;Republican;Oklahoma;Subcommittee Chair
Seguridad Nacional y Asuntos Gubernamentales;Senate;119;2025;2026;John Fetterman;John;Fetterman;Democrat;Pensilvania;Subcommittee Ranking
Seguridad Nacional y Asuntos Gubernamentales;Senate;119;2025;2026;Josh Hawley;Josh;Hawley;Republican;Missouri;Subcommittee Chair
Seguridad Nacional y Asuntos Gubernamentales;Senate;119;2025;2026;Andy Kim;Andy;Kim;Democrat;Nueva Jersey;Subcommittee Ranking
Seguridad Nacional y Asuntos Gubernamentales;Senate;119;2025;2026;Ron Johnson;Ron;Johnson;Republican;Wisconsin;Subcommittee Chair
Seguridad Nacional y Asuntos Gubernamentales;Senate;119;2025;2026;Richard Blumenthal;Richard;Blumenthal;Democrat;Connecticut;Subcommittee Ranking
Judicial;Senate;119;2025;2026;Chuck Grassley;Chuck;Grassley;Republican;Iowa;Chair
Judicial;Senate;119;2025;2026;Dick Durbin;Dick;Durbin;Democrat;Illinois;Ranking Member
Judicial;Senate;119;2025;2026;Mike Lee;Mike;Lee;Republican;Utah;Subcommittee Chair
Judicial;Senate;119;2025;2026;Cory Booker;Cory;Booker;Democrat;Nueva Jersey;Subcommittee Ranking
Judicial;Senate;119;2025;2026;John Cornyn;John;Cornyn;Republican;Texas;Subcommittee Chair
Judicial;Senate;119;2025;2026;Alex Padilla;Alex;Padilla;Democrat;California;Subcommittee Ranking
Judicial;Senate;119;2025;2026;Eric Schmitt;Eric;Schmitt;Republican;Missouri;Subcommittee Chair
Judicial;Senate;119;2025;2026;Pete Welch;Pete;Welch;Democrat;Vermont;Subcommittee Ranking
Judicial;Senate;119;2025;2026;Josh Hawley;Josh;Hawley;Republican;Missouri;Subcommittee Chair
Judicial;Senate;119;2025;2026;Ted Cruz;Ted;Cruz;Republican;Texas;Subcommittee Chair
Judicial;Senate;119;2025;2026;Sheldon Whitehouse;Sheldon;Whitehouse;Democrat;Rhode Island;Subcommittee Ranking
Judicial;Senate;119;2025;2026;Thom Tillis;Thom;Tillis;Republican;Carolina del Norte;Subcommittee Chair
Judicial;Senate;119;2025;2026;Adam Schiff;Adam;Schiff;Democrat;California;Subcommittee Ranking
Judicial;Senate;119;2025;2026;Marsha Blackburn;Marsha;Blackburn;Republican;Tennessee;Subcommittee Chair
Judicial;Senate;119;2025;2026;Amy Klobuchar;Amy;Klobuchar;Democrat;Minnesota;Subcommittee Ranking
Reglas y administración;Senate;119;2025;2026;Mitch McConnell;Mitch;McConnell;Republican;Kentucky;Chair
Reglas y administración;Senate;119;2025;2026;Alex Padilla;Alex;Padilla;Democrat;California;Ranking Member
Pequeñas empresas y emprendimiento;Senate;119;2025;2026;Joni Ernst;Joni;Ernst;Republican;Iowa;Chair
Pequeñas empresas y emprendimiento;Senate;119;2025;2026;Ed Markey;Ed;Markey;Democrat;Massachusetts;Ranking Member
Asuntos de Veteranos;Senate;119;2025;2026;Jerry Moran;Jerry;Moran;Republican;Kansas;Chair
Asuntos de Veteranos;Senate;119;2025;2026;Richard Blumenthal;Richard;Blumenthal;Democrat;Connecticut;Ranking Member
