bioguide_id,govtrack_id,opensecrets_id,fec_ids,wikipedia_id,full_name,first_name,last_name,middle_name,nickname,official_full,birthday,age_2024,age_2020,gender,religion,party,party_clean,state,chamber,type,district,senate_class,state_rank,first_relevant_term_start,latest_term_start,latest_term_end,num_relevant_terms,seniority_years,is_current,retirement_year,retired_during_period,is_senate,is_house,source,phone,fax,address,office,website,contact_form,rss_url,twitter,facebook,youtube,instagram,committees_list,num_committees
U000039,400413,N00006561,"['H8NM03097', 'S8NM00184']",Tom Udall,Tom Udall,Tom,Udall,S.,,Tom Udall,1948-05-18,76,72,M,,Democrat,D,NM,Senate,sen,,2.0,senior,2015-01-06,2015-01-06,2021-01-03,1,6.0,False,2021,True,True,False,historical,202-224-6621,202-228-3261,531 Hart Senate Office Building Washington DC 20510,531 Hart Senate Office Building,https://www.tomudall.senate.gov,https://www.tomudall.senate.gov/?p=contact,http://tomudall.senate.gov/rss/?p=blog,,,,,,0
A000367,412438,N00031938,['H0MI03126'],Justin Amash,Justin Amash,Justin,Amash,,,Justin Amash,1980-04-18,44,40,M,,Libertarian,,MI,House,rep,3.0,,,2019-01-03,2019-01-03,2021-01-03,1,2.0,False,2021,True,False,True,historical,202-225-3831,,106 Cannon House Office Building Washington DC 20515-2203,106 Cannon House Office Building,https://amash.house.gov,,http://amash.house.gov/rss.xml,,,,,,0
B001250,400029,N00025292,['H2UT01094'],Rob Bishop,Rob Bishop,Rob,Bishop,,,Rob Bishop,1951-07-13,73,69,M,,Republican,R,UT,House,rep,1.0,,,2019-01-03,2019-01-03,2021-01-03,1,2.0,False,2021,True,False,True,historical,202-225-0453,,123 Cannon House Office Building Washington DC 20515-4401,123 Cannon House Office Building,https://robbishop.house.gov,,http://robbishop.house.gov/news/rss.aspx,,,,,,0
C001049,400074,N00012460,['H0MO01066'],Lacy Clay,Wm. Clay,Wm.,Clay,Lacy,,Wm. Lacy Clay,1956-07-27,68,64,M,,Democrat,D,MO,House,rep,1.0,,,2019-01-03,2019-01-03,2021-01-03,1,2.0,False,2021,True,False,True,historical,202-225-2406,,2428 Rayburn House Office Building Washington DC 20515-2501,2428 Rayburn House Office Building,https://lacyclay.house.gov,,,,,,,,0
C001062,400655,N00026041,"['H4TX19136', 'H3TX19021']",Mike Conaway,K. Conaway,K.,Conaway,Michael,,K. Michael Conaway,1948-06-11,76,72,M,,Republican,R,TX,House,rep,11.0,,,2019-01-03,2019-01-03,2021-01-03,1,2.0,False,2021,True,False,True,historical,202-225-3605,,2469 Rayburn House Office Building Washington DC 20515-4311,2469 Rayburn House Office Building,https://conaway.house.gov,,,,,,,,0
D000598,400097,N00009604,['H0CA49055'],Susan Davis (politician),Susan Davis,Susan,Davis,A.,,Susan A. Davis,1944-04-13,80,76,F,,Democrat,D,CA,House,rep,53.0,,,2019-01-03,2019-01-03,2021-01-03,1,2.0,False,2021,True,False,True,historical,202-225-2040,,1214 Longworth House Office Building Washington DC 20515-0553,1214 Longworth House Office Building,https://susandavis.house.gov,,,,,,,,0
E000179,400122,N00001003,['H8NY19058'],Eliot Engel,Eliot Engel,Eliot,Engel,L.,,Eliot L. Engel,1947-02-18,77,73,M,,Democrat,D,NY,House,rep,16.0,,,2019-01-03,2019-01-03,2021-01-03,1,2.0,False,2021,True,False,True,historical,202-225-2464,,2426 Rayburn House Office Building Washington DC 20515-3216,2426 Rayburn House Office Building,https://engel.house.gov,,,,,,,,0
F000461,412480,N00031545,['H0TX17104'],Bill Flores,Bill Flores,Bill,Flores,,,Bill Flores,1954-02-25,70,66,M,,Republican,R,TX,House,rep,17.0,,,2019-01-03,2019-01-03,2021-01-03,1,2.0,False,2021,True,False,True,historical,202-225-6105,,2228 Rayburn House Office Building Washington DC 20515-4317,2228 Rayburn House Office Building,https://flores.house.gov,,http://flores.house.gov/common/rss//index.cfm?rss=25,,,,,,0
G000562,412406,N00030780,"['H0CO04122', 'S4CO00395']",Cory Gardner,Cory Gardner,Cory,Gardner,,,Cory Gardner,1974-08-22,50,46,M,,Republican,R,CO,Senate,sen,,2.0,junior,2015-01-06,2015-01-06,2021-01-03,1,6.0,False,2021,True,True,False,historical,202-224-5941,202-225-5870,354 Russell Senate Office Building Washington DC 20510,354 Russell Senate Office Building,https://www.gardner.senate.gov,https://www.gardner.senate.gov/contact-cory/email-cory,,,,,,,0
K000210,400219,N00001193,['H2NY03089'],Peter King (American politician),Peter King,Peter,King,T.,Pete,Peter T. King,1944-04-05,80,76,M,,Republican,R,NY,House,rep,2.0,,,2019-01-03,2019-01-03,2021-01-03,1,2.0,False,2021,True,False,True,historical,202-225-7896,,302 Cannon House Office Building Washington DC 20515-3202,302 Cannon House Office Building,https://peteking.house.gov,,http://peteking.house.gov/rss.xml,,,,,,0
K000362,400220,N00025237,['H2IA05072'],Steve King,Steve King,Steve,King,A.,,Steve King,1949-05-28,75,71,M,,Republican,R,IA,House,rep,4.0,,,2019-01-03,2019-01-03,2021-01-03,1,2.0,False,2021,True,False,True,historical,202-225-4426,,2210 Rayburn House Office Building Washington DC 20515-1504,2210 Rayburn House Office Building,https://steveking.house.gov,,http://steveking.house.gov/index.php?format=feed&amp;type=rss,,,,,,0
L000563,400630,N00027239,['H4IL03077'],Dan Lipinski,Daniel Lipinski,Daniel,Lipinski,William,,Daniel Lipinski,1966-07-15,58,54,M,,Democrat,D,IL,House,rep,3.0,,,2019-01-03,2019-01-03,2021-01-03,1,2.0,False,2021,True,False,True,historical,202-225-5701,,2346 Rayburn House Office Building Washington DC 20515-1303,2346 Rayburn House Office Building,https://lipinski.house.gov,,http://www.lipinski.house.gov/common/rss//index.cfm?rss=25,,,,,,0
L000565,412209,N00027741,['H6IA02146'],Dave Loebsack,David Loebsack,David,Loebsack,,,David Loebsack,1952-12-23,72,68,M,,Democrat,D,IA,House,rep,2.0,,,2019-01-03,2019-01-03,2021-01-03,1,2.0,False,2021,True,False,True,historical,202-225-6576,,1211 Longworth House Office Building Washington DC 20515-1502,1211 Longworth House Office Building,https://loebsack.house.gov,,http://loebsack.house.gov/news/rss.aspx,,,,,,0
L000480,400246,N00001024,['H8NY20056'],Nita Lowey,Nita Lowey,Nita,Lowey,M.,,Nita M. Lowey,1937-07-05,87,83,F,,Democrat,D,NY,House,rep,17.0,,,2019-01-03,2019-01-03,2021-01-03,1,2.0,False,2021,True,False,True,historical,202-225-6506,,2365 Rayburn House Office Building Washington DC 20515-3217,2365 Rayburn House Office Building,https://lowey.house.gov,,http://www.house.gov/common/rss/?rss=18,,,,,,0
M001158,400656,N00026710,['H4TX24094'],Kenny Marchant,Kenny Marchant,Kenny,Marchant,Ewell,,Kenny Marchant,1951-02-23,73,69,M,,Republican,R,TX,House,rep,24.0,,,2019-01-03,2019-01-03,2021-01-03,1,2.0,False,2021,True,False,True,historical,202-225-6605,,2304 Rayburn House Office Building Washington DC 20515-4324,2304 Rayburn House Office Building,https://marchant.house.gov,,http://marchant.house.gov/news/rss.aspx,,,,,,0
O000168,412302,N00029285,['H8TX22107'],Pete Olson,Pete Olson,Pete,Olson,,,Pete Olson,1962-12-09,62,58,M,,Republican,R,TX,House,rep,22.0,,,2019-01-03,2019-01-03,2021-01-03,1,2.0,False,2021,True,False,True,historical,202-225-5951,,2133 Rayburn House Office Building Washington DC 20515-4322,2133 Rayburn House Office Building,https://olson.house.gov,,feed://olson.house.gov/common/rss/?rss=82,,,,,,0
P000258,400316,N00004558,['H2MN07014'],Collin Peterson,Collin Peterson,Collin,Peterson,Clark,,Collin C. Peterson,1944-06-29,80,76,M,,Democrat,D,MN,House,rep,7.0,,,2019-01-03,2019-01-03,2021-01-03,1,2.0,False,2021,True,False,True,historical,202-225-2165,,2204 Rayburn House Office Building Washington DC 20515-2307,2204 Rayburn House Office Building,https://collinpeterson.house.gov,,http://collinpeterson.house.gov/rss.xml,,,,,,0
R000591,412394,N00030768,['H0AL02087'],Martha Roby,Martha Roby,Martha,Roby,,,Martha Roby,1976-07-27,48,44,F,,Republican,R,AL,House,rep,2.0,,,2019-01-03,2019-01-03,2021-01-03,1,2.0,False,2021,True,False,True,historical,202-225-2901,,504 Cannon House Office Building Washington DC 20515-0102,504 Cannon House Office Building,https://roby.house.gov,,http://roby.house.gov/rss.xml,,,,,,0
R000582,412310,N00028463,['H6TN01388'],Phil Roe (politician),David Roe,David,Roe,P.,Phil,David P. Roe,1945-07-21,79,75,M,,Republican,R,TN,House,rep,1.0,,,2019-01-03,2019-01-03,2021-01-03,1,2.0,False,2021,True,False,True,historical,202-225-6356,,102 Cannon House Office Building Washington DC 20515-4201,102 Cannon House Office Building,https://roe.house.gov,,,,,,,,0
S000244,400365,N00004291,['H8WI09050'],Jim Sensenbrenner,F. Sensenbrenner,F.,Sensenbrenner,James,,"F. James Sensenbrenner, Jr.",1943-06-14,81,77,M,,Republican,R,WI,House,rep,5.0,,,2019-01-03,2019-01-03,2021-01-03,1,2.0,False,2021,True,False,True,historical,202-225-5101,,2449 Rayburn House Office Building Washington DC 20515-4905,2449 Rayburn House Office Building,https://sensenbrenner.house.gov,,http://sensenbrenner.house.gov/news/rss.aspx,,,,,,0
S000248,400366,N00001813,['H0NY18065'],José E. Serrano,José Serrano,José,Serrano,E.,,José E. Serrano,1943-10-24,81,77,M,,Democrat,D,NY,House,rep,15.0,,,2019-01-03,2019-01-03,2021-01-03,1,2.0,False,2021,True,False,True,historical,202-225-4361,,2354 Rayburn House Office Building Washington DC 20515-3215,2354 Rayburn House Office Building,https://serrano.house.gov,,http://serrano.house.gov/rss.xml,,,,,,0
S000364,400373,N00004961,['H2IL20042'],John Shimkus,John Shimkus,John,Shimkus,M.,,John Shimkus,1958-02-21,66,62,M,,Republican,R,IL,House,rep,15.0,,,2019-01-03,2019-01-03,2021-01-03,1,2.0,False,2021,True,False,True,historical,202-225-5271,,2217 Rayburn House Office Building Washington DC 20515-1315,2217 Rayburn House Office Building,https://shimkus.house.gov,,http://shimkus.house.gov/rss.xml,,,,,,0
T000238,400404,N00006052,['H4TX13014'],Mac Thornberry,Mac Thornberry,Mac,Thornberry,M.,,Mac Thornberry,1958-07-15,66,62,M,,Republican,R,TX,House,rep,13.0,,,2019-01-03,2019-01-03,2021-01-03,1,2.0,False,2021,True,False,True,historical,202-225-3706,,2208 Rayburn House Office Building Washington DC 20515-4313,2208 Rayburn House Office Building,https://thornberry.house.gov,,,,,,,,0
T000470,412405,N00027509,['H6CO03139'],Scott Tipton,Scott Tipton,Scott,Tipton,R.,,Scott R. Tipton,1956-11-09,68,64,M,,Republican,R,CO,House,rep,3.0,,,2019-01-03,2019-01-03,2021-01-03,1,2.0,False,2021,True,False,True,historical,202-225-4761,,218 Cannon House Office Building Washington DC 20515-0603,218 Cannon House Office Building,https://tipton.house.gov,,http://tipton.house.gov/rss.xml,,,,,,0
V000108,400417,N00003813,['H4IN01012'],Pete Visclosky,Peter Visclosky,Peter,Visclosky,J.,,Peter J. Visclosky,1949-08-13,75,71,M,,Democrat,D,IN,House,rep,1.0,,,2019-01-03,2019-01-03,2021-01-03,1,2.0,False,2021,True,False,True,historical,202-225-2461,,2328 Rayburn House Office Building Washington DC 20515-1401,2328 Rayburn House Office Building,https://visclosky.house.gov,,http://visclosky.house.gov/rss.xml,,,,,,0
W000791,400419,N00007690,['H6OR02116'],Greg Walden,Greg Walden,Greg,Walden,P.,,Greg Walden,1957-01-10,67,63,M,,Republican,R,OR,House,rep,2.0,,,2019-01-03,2019-01-03,2021-01-03,1,2.0,False,2021,True,False,True,historical,202-225-6730,,2185 Rayburn House Office Building Washington DC 20515-3702,2185 Rayburn House Office Building,https://walden.house.gov,,http://walden.house.gov/common/rss/?rss=100,,,,,,0
W000810,412416,N00032416,['H0GA07133'],Rob Woodall,Rob Woodall,Rob,Woodall,,,Rob Woodall,1970-02-11,54,50,M,,Republican,R,GA,House,rep,7.0,,,2019-01-03,2019-01-03,2021-01-03,1,2.0,False,2021,True,False,True,historical,202-225-4272,,1724 Longworth House Office Building Washington DC 20515-1007,1724 Longworth House Office Building,https://woodall.house.gov,,http://woodall.house.gov/rss.xml,,,,,,0
Y000065,412525,N00033220,['H2FL06109'],Ted Yoho,Ted Yoho,Ted,Yoho,S.,,Ted S. Yoho,1955-04-13,69,65,M,,Republican,R,FL,House,rep,3.0,,,2019-01-03,2019-01-03,2021-01-03,1,2.0,False,2021,True,False,True,historical,202-225-5744,,1730 Longworth House Office Building Washington DC 20515-0903,1730 Longworth House Office Building,https://yoho.house.gov,,http://yoho.house.gov/rss.xml,,,,,,0
C001093,412531,N00033518,['H2GA09150'],Doug Collins (politician),Doug Collins,Doug,Collins,,,Doug Collins,1966-08-16,58,54,M,,Republican,R,GA,House,rep,9.0,,,2019-01-03,2019-01-03,2021-01-03,1,2.0,False,2021,True,False,True,historical,202-225-9893,,1504 Longworth House Office Building Washington DC 20515-1009,1504 Longworth House Office Building,https://dougcollins.house.gov,,http://dougcollins.house.gov/latest-rss/latest-rss/,,,,,,0
G000571,412532,N00033281,['H2HI02508'],Tulsi Gabbard,Tulsi Gabbard,Tulsi,Gabbard,,,Tulsi Gabbard,1981-04-12,43,39,F,,Democrat,D,HI,House,rep,2.0,,,2019-01-03,2019-01-03,2021-01-03,1,2.0,False,2021,True,False,True,historical,202-225-4906,,1433 Longworth House Office Building Washington DC 20515-1102,1433 Longworth House Office Building,https://gabbard.house.gov,,http://gabbard.house.gov/rss.xml,,,,,,0
B001284,412539,N00033495,['H2IN05082'],Susan Brooks,Susan Brooks,Susan,Brooks,W.,,Susan W. Brooks,1960-08-25,64,60,F,,Republican,R,IN,House,rep,5.0,,,2019-01-03,2019-01-03,2021-01-03,1,2.0,False,2021,True,False,True,historical,202-225-2276,,2211 Rayburn House Office Building Washington DC 20515-1405,2211 Rayburn House Office Building,https://susanwbrooks.house.gov,,http://susanwbrooks.house.gov/rss.xml,,,,,,0
K000379,412543,N00034044,['H2MA04073'],Joe Kennedy III,Joseph Kennedy,Joseph,Kennedy,P.,,Joseph P. Kennedy III,1980-10-04,44,40,M,,Democrat,D,MA,House,rep,4.0,,,2019-01-03,2019-01-03,2021-01-03,1,2.0,False,2021,True,False,True,historical,202-225-5931,,304 Cannon House Office Building Washington DC 20515-2104,304 Cannon House Office Building,https://kennedy.house.gov,,http://kennedy.house.gov/rss.xml,,,,,,0
H001065,412553,N00033399,['H2NC13110'],George Holding,George Holding,George,Holding,,,George Holding,1968-04-17,56,52,M,,Republican,R,NC,House,rep,2.0,,,2019-01-03,2019-01-03,2021-01-03,1,2.0,False,2021,True,False,True,historical,202-225-3032,,1110 Longworth House Office Building Washington DC 20515-3302,1110 Longworth House Office Building,https://holding.house.gov,,http://holding.house.gov/rss.xml,,,,,,0
H001064,412584,N00031557,['H0WA03161'],Denny Heck,Denny Heck,Denny,Heck,,,Denny Heck,1952-07-29,72,68,M,,Democrat,D,WA,House,rep,10.0,,,2019-01-03,2019-01-03,2021-01-03,1,2.0,False,2021,True,False,True,historical,202-225-9740,,2452 Rayburn House Office Building Washington DC 20515-4710,2452 Rayburn House Office Building,https://dennyheck.house.gov,,http://dennyheck.house.gov/rss.xml,,,,,,0
B001289,412601,N00035380,['H4AL01123'],Bradley Byrne,Bradley Byrne,Bradley,Byrne,,,Bradley Byrne,1955-02-16,69,65,M,,Republican,R,AL,House,rep,1.0,,,2019-01-03,2019-01-03,2021-01-03,1,2.0,False,2021,True,False,True,historical,202-225-4931,,119 Cannon House Office Building Washington DC 20515-0101,119 Cannon House Office Building,https://byrne.house.gov,,,,,,,,0
A000374,412630,N00036633,['H4LA05221'],Ralph Abraham (politician),Ralph Abraham,Ralph,Abraham,,,Ralph Lee Abraham,1954-09-16,70,66,M,,Republican,R,LA,House,rep,5.0,,,2019-01-03,2019-01-03,2021-01-03,1,2.0,False,2021,True,False,True,historical,202-225-8490,,417 Cannon House Office Building Washington DC 20515-1805,417 Cannon House Office Building,https://abraham.house.gov,,,,,,,,0
H001073,412654,N00031417,['H0TX23086'],Will Hurd,Will Hurd,Will,Hurd,,,Will Hurd,1977-08-19,47,43,M,,Republican,R,TX,House,rep,23.0,,,2019-01-03,2019-01-03,2021-01-03,1,2.0,False,2021,True,False,True,historical,202-225-4511,,317 Cannon House Office Building Washington DC 20515-4323,317 Cannon House Office Building,https://hurd.house.gov,,,,,,,,0
P000612,412666,N00035516,['S4GA11285'],David Perdue,David Perdue,David,Perdue,,,David Perdue,1949-12-10,75,71,M,,Republican,R,GA,Senate,sen,,2.0,senior,2015-01-06,2015-01-06,2021-01-03,1,6.0,False,2021,True,True,False,historical,202-224-3521,,455 Russell Senate Office Building Washington DC 20510,455 Russell Senate Office Building,https://www.perdue.senate.gov,https://www.perdue.senate.gov/connect/email,,,,,,,0
W000819,412670,N00035311,['H4NC06052'],Mark Walker (North Carolina politician),Mark Walker,Mark,Walker,,,Mark Walker,1969-05-20,55,51,M,,Republican,R,NC,House,rep,6.0,,,2019-01-03,2019-01-03,2021-01-03,1,2.0,False,2021,True,False,True,historical,202-225-3065,,1725 Longworth House Office Building Washington DC 20515-3306,1725 Longworth House Office Building,https://walker.house.gov,,,,,,,,0
R000607,412699,N00040007,['H6FL19087'],Francis Rooney,Francis Rooney,Francis,Rooney,,,Francis Rooney,1953-12-04,71,67,M,,Republican,R,FL,House,rep,19.0,,,2019-01-03,2019-01-03,2021-01-03,1,2.0,False,2021,True,False,True,historical,202-225-2536,,120 Cannon House Office Building Washington DC 20515-0919,120 Cannon House Office Building,https://francisrooney.house.gov,,,,,,,,0
M001201,412710,N00036274,['H4MI04118'],Paul Mitchell (politician),Paul Mitchell,Paul,Mitchell,,,Paul Mitchell,1961-05-08,63,59,M,,Independent,I,MI,House,rep,10.0,,,2019-01-03,2019-01-03,2021-01-03,1,2.0,False,2021,True,False,True,historical,202-225-2106,,211 Cannon House Office Building Washington DC 20515-2210,211 Cannon House Office Building,https://mitchell.house.gov,,,,,,,,0
G000584,412736,N00040733,['H8MT01182'],Greg Gianforte,Greg Gianforte,Greg,Gianforte,,,Greg Gianforte,1961-04-17,63,59,M,,Republican,R,MT,House,rep,0.0,,,2019-01-03,2019-01-03,2021-01-03,1,2.0,False,2021,True,False,True,historical,202-225-3211,,1222 Longworth House Office Building Washington DC 20515-2600,1222 Longworth House Office Building,https://gianforte.house.gov,,,,,,,,0
J000300,412741,N00024817,['S0AL00156'],Doug Jones (politician),Doug Jones,Doug,Jones,,,Doug Jones,1954-05-04,70,66,M,,Democrat,D,AL,Senate,sen,,2.0,junior,2018-01-03,2018-01-03,2021-01-03,1,3.0,False,2021,True,True,False,historical,202-224-4124,,330 Hart Senate Office Building Washington DC 20510,330 Hart Senate Office Building,https://www.jones.senate.gov,https://www.jones.senate.gov/content/contact-senator,,,,,,,0
C001124,412755,N00028122,['H8CA10167'],TJ Cox,TJ Cox,TJ,Cox,,,TJ Cox,1963-07-18,61,57,M,,Democrat,D,CA,House,rep,21.0,,,2019-01-03,2019-01-03,2021-01-03,1,2.0,False,2021,True,False,True,historical,202-225-4695,,1728 Longworth House Office Building Washington DC 20515-0521,1728 Longworth House Office Building,https://cox.house.gov,,,,,,,,0
R000616,412759,N00040666,['H8CA48035'],Harley Rouda,Harley Rouda,Harley,Rouda,,,Harley Rouda,1961-12-10,63,59,M,,Democrat,D,CA,House,rep,48.0,,,2019-01-03,2019-01-03,2021-01-03,1,2.0,False,2021,True,False,True,historical,202-225-2415,,2300 Rayburn House Office Building Washington DC 20515-0548,2300 Rayburn House Office Building,https://rouda.house.gov,,,,,,,,0
S001210,412765,N00043319,['H8FL15230'],Ross Spano,Ross Spano,Ross,Spano,,,Ross Spano,1966-07-16,58,54,M,,Republican,R,FL,House,rep,15.0,,,2019-01-03,2019-01-03,2021-01-03,1,2.0,False,2021,True,False,True,historical,202-225-1252,,224 Cannon House Office Building Washington DC 20515-0915,224 Cannon House Office Building,https://spano.house.gov,,,,,,,,0
M001207,412767,N00041561,['H8FL26039'],Debbie Mucarsel-Powell,Debbie Mucarsel-Powell,Debbie,Mucarsel-Powell,,,Debbie Mucarsel-Powell,1971-01-18,53,49,F,,Democrat,D,FL,House,rep,26.0,,,2019-01-03,2019-01-03,2021-01-03,1,2.0,False,2021,True,False,True,historical,202-225-2778,,114 Cannon House Office Building Washington DC 20515-0926,114 Cannon House Office Building,https://mucarsel-powell.house.gov,,,,,,,,0
S001206,412768,N00042811,['H8FL27193'],Donna Shalala,Donna Shalala,Donna,Shalala,E.,,Donna E. Shalala,1941-02-14,83,79,F,,Democrat,D,FL,House,rep,27.0,,,2019-01-03,2019-01-03,2021-01-03,1,2.0,False,2021,True,False,True,historical,202-225-3931,,1320 Longworth House Office Building Washington DC 20515-0927,1320 Longworth House Office Building,https://shalala.house.gov,,,,,,,,0
F000467,412771,N00040888,['H8IA01094'],Abby Finkenauer,Abby Finkenauer,Abby,Finkenauer,,,Abby Finkenauer,1988-12-27,36,32,F,,Democrat,D,IA,House,rep,1.0,,,2019-01-03,2019-01-03,2021-01-03,1,2.0,False,2021,True,False,True,historical,202-225-2911,,124 Cannon House Office Building Washington DC 20515-1501,124 Cannon House Office Building,https://finkenauer.house.gov,,,,,,,,0
W000824,412779,N00042126,['H8KS02199'],Steve Watkins,Steven Watkins,Steven,Watkins,C.,,Steve Watkins,1976-09-18,48,44,M,,Republican,R,KS,House,rep,2.0,,,2019-01-03,2019-01-03,2021-01-03,1,2.0,False,2021,True,False,True,historical,202-225-6601,,1205 Longworth House Office Building Washington DC 20515-1602,1205 Longworth House Office Building,https://watkins.house.gov,,,,,,,,0
T000484,412801,N00042467,['H8NM02248'],Xochitl Torres Small,Xochitl Torres Small,Xochitl,Torres Small,,,Xochitl Torres Small,1984-11-15,40,36,F,,Democrat,D,NM,House,rep,2.0,,,2019-01-03,2019-01-03,2021-01-03,1,2.0,False,2021,True,False,True,historical,202-225-2365,,430 Cannon House Office Building Washington DC 20515-3102,430 Cannon House Office Building,https://torressmall.house.gov,,,,,,,,0
R000613,412803,N00041588,['H8NY11113'],Max Rose,Max Rose,Max,Rose,,,Max Rose,1986-11-28,38,34,M,,Democrat,D,NY,House,rep,11.0,,,2019-01-03,2019-01-03,2021-01-03,1,2.0,False,2021,True,False,True,historical,202-225-3371,,1529 Longworth House Office Building Washington DC 20515-3211,1529 Longworth House Office Building,https://maxrose.house.gov,,,,,,,,0
