committee,chamber,congress,year_start,year_end,full_name,first_name,last_name,party,state,role,Unnamed: 11,bioguide_id,match_method,Unnamed: 12
Agriculture Nutrition and Forestry,Senate,116,2019,2020,David Williams,David,Williams,Republican,DE,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,116,2019,2020,Robert Brown,Robert,Brown,Democrat,FL,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,116,2019,2020,James Jones,James,Jones,Republican,GA,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,116,2019,2020,William Miller,William,Miller,Democrat,HI,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,116,2019,2020,Richard Davis,Richard,Davis,Republican,ID,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,116,2019,2020,Joseph Garcia,Joseph,Garcia,Democrat,IL,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,116,2019,2020,Thomas Rodriguez,Thomas,Rodriguez,Republican,IN,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,116,2019,2020,Charles Wilson,Charles,Wilson,Democrat,IA,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,116,2019,2020,Christopher Martinez,Christopher,Martinez,Republican,KS,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,116,2019,2020,Daniel Anderson,Daniel,Anderson,Democrat,KY,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,116,2019,2020,Matthew Taylor,Matthew,Taylor,Republican,LA,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,116,2019,2020,Anthony Thomas,Anthony,Thomas,Democrat,ME,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,116,2019,2020,Mark Moore,Mark,Moore,Republican,MD,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,116,2019,2020,Donald Jackson,Donald,Jackson,Democrat,MA,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,116,2019,2020,Steven Martin,Steven,Martin,Republican,MI,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,116,2019,2020,Paul Lee,Paul,Lee,Democrat,MN,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,116,2019,2020,Andrew Thompson,Andrew,Thompson,Republican,MS,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,117,2021,2022,Debbie Stabenow,Debbie,Stabenow,Democrat,NV,Chair,,S000770,full_name_only,
Agriculture Nutrition and Forestry,Senate,117,2021,2022,John Boozman,John,Boozman,Republican,MD,Ranking Member,,B001236,full_name_only,
Agriculture Nutrition and Forestry,Senate,117,2021,2022,John Smith,John,Smith,Democrat,CO,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,117,2021,2022,Michael Johnson,Michael,Johnson,Republican,CT,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,117,2021,2022,David Williams,David,Williams,Democrat,DE,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,117,2021,2022,Robert Brown,Robert,Brown,Republican,FL,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,117,2021,2022,James Jones,James,Jones,Democrat,GA,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,117,2021,2022,William Miller,William,Miller,Republican,HI,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,117,2021,2022,Richard Davis,Richard,Davis,Democrat,ID,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,117,2021,2022,Joseph Garcia,Joseph,Garcia,Republican,IL,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,117,2021,2022,Thomas Rodriguez,Thomas,Rodriguez,Democrat,IN,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,117,2021,2022,Charles Wilson,Charles,Wilson,Republican,IA,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,117,2021,2022,Christopher Martinez,Christopher,Martinez,Democrat,KS,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,117,2021,2022,Daniel Anderson,Daniel,Anderson,Republican,KY,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,117,2021,2022,Matthew Taylor,Matthew,Taylor,Democrat,LA,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,117,2021,2022,Anthony Thomas,Anthony,Thomas,Republican,ME,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,117,2021,2022,Mark Moore,Mark,Moore,Democrat,MD,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,117,2021,2022,Donald Jackson,Donald,Jackson,Republican,MA,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,117,2021,2022,Steven Martin,Steven,Martin,Democrat,MI,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,117,2021,2022,Paul Lee,Paul,Lee,Republican,MN,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,117,2021,2022,Andrew Thompson,Andrew,Thompson,Democrat,MS,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,118,2023,2024,Debbie Stabenow,Debbie,Stabenow,Democrat,NV,Chair,,S000770,full_name_only,
Agriculture Nutrition and Forestry,Senate,118,2023,2024,John Boozman,John,Boozman,Republican,MD,Ranking Member,,B001236,full_name_only,
Agriculture Nutrition and Forestry,Senate,118,2023,2024,John Smith,John,Smith,Democrat,CO,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,118,2023,2024,Michael Johnson,Michael,Johnson,Republican,CT,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,118,2023,2024,David Williams,David,Williams,Democrat,DE,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,118,2023,2024,Robert Brown,Robert,Brown,Republican,FL,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,118,2023,2024,James Jones,James,Jones,Democrat,GA,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,118,2023,2024,William Miller,William,Miller,Republican,HI,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,118,2023,2024,Richard Davis,Richard,Davis,Democrat,ID,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,118,2023,2024,Joseph Garcia,Joseph,Garcia,Republican,IL,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,118,2023,2024,Thomas Rodriguez,Thomas,Rodriguez,Democrat,IN,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,118,2023,2024,Charles Wilson,Charles,Wilson,Republican,IA,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,118,2023,2024,Christopher Martinez,Christopher,Martinez,Democrat,KS,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,118,2023,2024,Daniel Anderson,Daniel,Anderson,Republican,KY,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,118,2023,2024,Matthew Taylor,Matthew,Taylor,Democrat,LA,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,118,2023,2024,Anthony Thomas,Anthony,Thomas,Republican,ME,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,118,2023,2024,Mark Moore,Mark,Moore,Democrat,MD,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,118,2023,2024,Donald Jackson,Donald,Jackson,Republican,MA,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,118,2023,2024,Steven Martin,Steven,Martin,Democrat,MI,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,118,2023,2024,Paul Lee,Paul,Lee,Republican,MN,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,118,2023,2024,Andrew Thompson,Andrew,Thompson,Democrat,MS,Member,,,no_match,
Appropriations,Senate,115,2017,2018,Thad Cochran,Thad,Cochran,Republican,WY,Chair,,C000567,full_name_only,
Appropriations,Senate,115,2017,2018,Patrick Leahy,Patrick,Leahy,Democrat,NY,Ranking Member,,L000174,no_middle_only,
Appropriations,Senate,115,2017,2018,John Smith,John,Smith,Republican,LA,Member,,,no_match,
Appropriations,Senate,115,2017,2018,Michael Johnson,Michael,Johnson,Democrat,ME,Member,,,no_match,
Appropriations,Senate,115,2017,2018,David Williams,David,Williams,Republican,MD,Member,,,no_match,
Appropriations,Senate,115,2017,2018,Robert Brown,Robert,Brown,Democrat,MA,Member,,B001268,last+state,
Appropriations,Senate,115,2017,2018,James Jones,James,Jones,Republican,MI,Member,,,no_match,
Appropriations,Senate,115,2017,2018,William Miller,William,Miller,Democrat,MN,Member,,,no_match,
Appropriations,Senate,115,2017,2018,Richard Davis,Richard,Davis,Republican,MS,Member,,,no_match,
Appropriations,Senate,115,2017,2018,Joseph Garcia,Joseph,Garcia,Democrat,MO,Member,,,no_match,
Appropriations,Senate,115,2017,2018,Thomas Rodriguez,Thomas,Rodriguez,Republican,MT,Member,,,no_match,
Appropriations,Senate,115,2017,2018,Charles Wilson,Charles,Wilson,Democrat,NE,Member,,,no_match,
Appropriations,Senate,115,2017,2018,Christopher Martinez,Christopher,Martinez,Republican,NV,Member,,,no_match,
Appropriations,Senate,115,2017,2018,Daniel Anderson,Daniel,Anderson,Democrat,NH,Member,,,no_match,
Appropriations,Senate,115,2017,2018,Matthew Taylor,Matthew,Taylor,Republican,NJ,Member,,,no_match,
Appropriations,Senate,115,2017,2018,Anthony Thomas,Anthony,Thomas,Democrat,NM,Member,,,no_match,
Appropriations,Senate,115,2017,2018,Mark Moore,Mark,Moore,Republican,NY,Member,,,no_match,
Appropriations,Senate,115,2017,2018,Donald Jackson,Donald,Jackson,Democrat,NC,Member,,J000308,last+state,
Appropriations,Senate,115,2017,2018,Steven Martin,Steven,Martin,Republican,ND,Member,,,no_match,
Appropriations,Senate,115,2017,2018,Paul Lee,Paul,Lee,Democrat,OH,Member,,,no_match,
Appropriations,Senate,115,2017,2018,Andrew Thompson,Andrew,Thompson,Republican,OK,Member,,,no_match,
Appropriations,Senate,115,2017,2018,Kenneth White,Kenneth,White,Democrat,OR,Member,,,no_match,
Appropriations,Senate,115,2017,2018,George Harris,George,Harris,Republican,PA,Member,,,no_match,
Appropriations,Senate,115,2017,2018,Edward Clark,Edward,Clark,Democrat,RI,Member,,,no_match,
Appropriations,Senate,115,2017,2018,Brian Lewis,Brian,Lewis,Republican,SC,Member,,,no_match,
Appropriations,Senate,115,2017,2018,Ronald Robinson,Ronald,Robinson,Democrat,SD,Member,,,no_match,
Appropriations,Senate,115,2017,2018,Timothy Walker,Timothy,Walker,Republican,TN,Member,,,no_match,
Appropriations,Senate,115,2017,2018,Jason Young,Jason,Young,Democrat,TX,Member,,,no_match,
Appropriations,Senate,115,2017,2018,Jeffrey Allen,Jeffrey,Allen,Republican,UT,Member,,,no_match,
Appropriations,Senate,115,2017,2018,Ryan King,Ryan,King,Democrat,VT,Member,,,no_match,
Appropriations,Senate,115,2017,2018,Jacob Wright,Jacob,Wright,Republican,VA,Member,,,no_match,
Appropriations,Senate,116,2019,2020,Richard Shelby,Richard,Shelby,Republican,FL,Chair,,S000320,no_middle_only,
Appropriations,Senate,116,2019,2020,Patrick Leahy,Patrick,Leahy,Democrat,NY,Ranking Member,,L000174,no_middle_only,
Appropriations,Senate,116,2019,2020,John Smith,John,Smith,Republican,LA,Member,,,no_match,
Appropriations,Senate,116,2019,2020,Michael Johnson,Michael,Johnson,Democrat,ME,Member,,,no_match,
Appropriations,Senate,116,2019,2020,David Williams,David,Williams,Republican,MD,Member,,,no_match,
Appropriations,Senate,116,2019,2020,Robert Brown,Robert,Brown,Democrat,MA,Member,,B001268,last+state,
Appropriations,Senate,116,2019,2020,James Jones,James,Jones,Republican,MI,Member,,,no_match,
Appropriations,Senate,116,2019,2020,William Miller,William,Miller,Democrat,MN,Member,,,no_match,
Appropriations,Senate,116,2019,2020,Richard Davis,Richard,Davis,Republican,MS,Member,,,no_match,
Appropriations,Senate,116,2019,2020,Joseph Garcia,Joseph,Garcia,Democrat,MO,Member,,,no_match,
Appropriations,Senate,116,2019,2020,Thomas Rodriguez,Thomas,Rodriguez,Republican,MT,Member,,,no_match,
Appropriations,Senate,116,2019,2020,Charles Wilson,Charles,Wilson,Democrat,NE,Member,,,no_match,
Appropriations,Senate,116,2019,2020,Christopher Martinez,Christopher,Martinez,Republican,NV,Member,,,no_match,
Appropriations,Senate,116,2019,2020,Daniel Anderson,Daniel,Anderson,Democrat,NH,Member,,,no_match,
Appropriations,Senate,116,2019,2020,Matthew Taylor,Matthew,Taylor,Republican,NJ,Member,,,no_match,
Appropriations,Senate,116,2019,2020,Anthony Thomas,Anthony,Thomas,Democrat,NM,Member,,,no_match,
Appropriations,Senate,116,2019,2020,Mark Moore,Mark,Moore,Republican,NY,Member,,,no_match,
Appropriations,Senate,116,2019,2020,Donald Jackson,Donald,Jackson,Democrat,NC,Member,,J000308,last+state,
Appropriations,Senate,116,2019,2020,Steven Martin,Steven,Martin,Republican,ND,Member,,,no_match,
Appropriations,Senate,116,2019,2020,Paul Lee,Paul,Lee,Democrat,OH,Member,,,no_match,
Appropriations,Senate,116,2019,2020,Andrew Thompson,Andrew,Thompson,Republican,OK,Member,,,no_match,
Appropriations,Senate,116,2019,2020,Kenneth White,Kenneth,White,Democrat,OR,Member,,,no_match,
Appropriations,Senate,116,2019,2020,George Harris,George,Harris,Republican,PA,Member,,,no_match,
Appropriations,Senate,116,2019,2020,Edward Clark,Edward,Clark,Democrat,RI,Member,,,no_match,
Appropriations,Senate,116,2019,2020,Brian Lewis,Brian,Lewis,Republican,SC,Member,,,no_match,
Appropriations,Senate,116,2019,2020,Ronald Robinson,Ronald,Robinson,Democrat,SD,Member,,,no_match,
Appropriations,Senate,116,2019,2020,Timothy Walker,Timothy,Walker,Republican,TN,Member,,,no_match,
Appropriations,Senate,116,2019,2020,Jason Young,Jason,Young,Democrat,TX,Member,,,no_match,
Appropriations,Senate,116,2019,2020,Jeffrey Allen,Jeffrey,Allen,Republican,UT,Member,,,no_match,
Appropriations,Senate,116,2019,2020,Ryan King,Ryan,King,Democrat,VT,Member,,,no_match,
Appropriations,Senate,116,2019,2020,Jacob Wright,Jacob,Wright,Republican,VA,Member,,,no_match,
Appropriations,Senate,117,2021,2022,Patrick Leahy,Patrick,Leahy,Democrat,NY,Chair,,L000174,no_middle_only,
Appropriations,Senate,117,2021,2022,Richard Shelby,Richard,Shelby,Republican,FL,Ranking Member,,S000320,no_middle_only,
Appropriations,Senate,117,2021,2022,John Smith,John,Smith,Democrat,LA,Member,,,no_match,
Appropriations,Senate,117,2021,2022,Michael Johnson,Michael,Johnson,Republican,ME,Member,,,no_match,
Appropriations,Senate,117,2021,2022,David Williams,David,Williams,Democrat,MD,Member,,,no_match,
Appropriations,Senate,117,2021,2022,Robert Brown,Robert,Brown,Republican,MA,Member,,B001268,last+state,
Appropriations,Senate,117,2021,2022,James Jones,James,Jones,Democrat,MI,Member,,,no_match,
Appropriations,Senate,117,2021,2022,William Miller,William,Miller,Republican,MN,Member,,,no_match,
Appropriations,Senate,117,2021,2022,Richard Davis,Richard,Davis,Democrat,MS,Member,,,no_match,
Appropriations,Senate,117,2021,2022,Joseph Garcia,Joseph,Garcia,Republican,MO,Member,,,no_match,
Appropriations,Senate,117,2021,2022,Thomas Rodriguez,Thomas,Rodriguez,Democrat,MT,Member,,,no_match,
Appropriations,Senate,117,2021,2022,Charles Wilson,Charles,Wilson,Republican,NE,Member,,,no_match,
Appropriations,Senate,117,2021,2022,Christopher Martinez,Christopher,Martinez,Democrat,NV,Member,,,no_match,
Appropriations,Senate,117,2021,2022,Daniel Anderson,Daniel,Anderson,Republican,NH,Member,,,no_match,
Appropriations,Senate,117,2021,2022,Matthew Taylor,Matthew,Taylor,Democrat,NJ,Member,,,no_match,
Appropriations,Senate,117,2021,2022,Anthony Thomas,Anthony,Thomas,Republican,NM,Member,,,no_match,
Appropriations,Senate,117,2021,2022,Mark Moore,Mark,Moore,Democrat,NY,Member,,,no_match,
Appropriations,Senate,117,2021,2022,Donald Jackson,Donald,Jackson,Republican,NC,Member,,J000308,last+state,
Appropriations,Senate,117,2021,2022,Steven Martin,Steven,Martin,Democrat,ND,Member,,,no_match,
Appropriations,Senate,117,2021,2022,Paul Lee,Paul,Lee,Republican,OH,Member,,,no_match,
Appropriations,Senate,117,2021,2022,Andrew Thompson,Andrew,Thompson,Democrat,OK,Member,,,no_match,
Appropriations,Senate,117,2021,2022,Kenneth White,Kenneth,White,Republican,OR,Member,,,no_match,
Appropriations,Senate,117,2021,2022,George Harris,George,Harris,Democrat,PA,Member,,,no_match,
Appropriations,Senate,117,2021,2022,Edward Clark,Edward,Clark,Republican,RI,Member,,,no_match,
Appropriations,Senate,117,2021,2022,Brian Lewis,Brian,Lewis,Democrat,SC,Member,,,no_match,
Appropriations,Senate,117,2021,2022,Ronald Robinson,Ronald,Robinson,Republican,SD,Member,,,no_match,
Appropriations,Senate,117,2021,2022,Timothy Walker,Timothy,Walker,Democrat,TN,Member,,,no_match,
Appropriations,Senate,117,2021,2022,Jason Young,Jason,Young,Republican,TX,Member,,,no_match,
Appropriations,Senate,117,2021,2022,Jeffrey Allen,Jeffrey,Allen,Democrat,UT,Member,,,no_match,
Appropriations,Senate,117,2021,2022,Ryan King,Ryan,King,Republican,VT,Member,,,no_match,
Appropriations,Senate,117,2021,2022,Jacob Wright,Jacob,Wright,Democrat,VA,Member,,,no_match,
Appropriations,Senate,118,2023,2024,Patty Murray,Patty,Murray,Democrat,MS,Chair,,M001111,full_name_only,
Appropriations,Senate,118,2023,2024,Susan Collins,Susan,Collins,Republican,PA,Ranking Member,,C001035,no_middle_only,
Appropriations,Senate,118,2023,2024,John Smith,John,Smith,Democrat,LA,Member,,,no_match,
Appropriations,Senate,118,2023,2024,Michael Johnson,Michael,Johnson,Republican,ME,Member,,,no_match,
Appropriations,Senate,118,2023,2024,David Williams,David,Williams,Democrat,MD,Member,,,no_match,
Appropriations,Senate,118,2023,2024,Robert Brown,Robert,Brown,Republican,MA,Member,,B001268,last+state,
Appropriations,Senate,118,2023,2024,James Jones,James,Jones,Democrat,MI,Member,,,no_match,
Appropriations,Senate,118,2023,2024,William Miller,William,Miller,Republican,MN,Member,,,no_match,
Appropriations,Senate,118,2023,2024,Richard Davis,Richard,Davis,Democrat,MS,Member,,,no_match,
Appropriations,Senate,118,2023,2024,Joseph Garcia,Joseph,Garcia,Republican,MO,Member,,,no_match,
Appropriations,Senate,118,2023,2024,Thomas Rodriguez,Thomas,Rodriguez,Democrat,MT,Member,,,no_match,
Appropriations,Senate,118,2023,2024,Charles Wilson,Charles,Wilson,Republican,NE,Member,,,no_match,
Appropriations,Senate,118,2023,2024,Christopher Martinez,Christopher,Martinez,Democrat,NV,Member,,,no_match,
Appropriations,Senate,118,2023,2024,Daniel Anderson,Daniel,Anderson,Republican,NH,Member,,,no_match,
Appropriations,Senate,118,2023,2024,Matthew Taylor,Matthew,Taylor,Democrat,NJ,Member,,,no_match,
Appropriations,Senate,118,2023,2024,Anthony Thomas,Anthony,Thomas,Republican,NM,Member,,,no_match,
Appropriations,Senate,118,2023,2024,Mark Moore,Mark,Moore,Democrat,NY,Member,,,no_match,
Appropriations,Senate,118,2023,2024,Donald Jackson,Donald,Jackson,Republican,NC,Member,,J000308,last+state,
Appropriations,Senate,118,2023,2024,Steven Martin,Steven,Martin,Democrat,ND,Member,,,no_match,
Appropriations,Senate,118,2023,2024,Paul Lee,Paul,Lee,Republican,OH,Member,,,no_match,
Appropriations,Senate,118,2023,2024,Andrew Thompson,Andrew,Thompson,Democrat,OK,Member,,,no_match,
Appropriations,Senate,118,2023,2024,Kenneth White,Kenneth,White,Republican,OR,Member,,,no_match,
Appropriations,Senate,118,2023,2024,George Harris,George,Harris,Democrat,PA,Member,,,no_match,
Appropriations,Senate,118,2023,2024,Edward Clark,Edward,Clark,Republican,RI,Member,,,no_match,
Appropriations,Senate,118,2023,2024,Brian Lewis,Brian,Lewis,Democrat,SC,Member,,,no_match,
Appropriations,Senate,118,2023,2024,Ronald Robinson,Ronald,Robinson,Republican,SD,Member,,,no_match,
Appropriations,Senate,118,2023,2024,Timothy Walker,Timothy,Walker,Democrat,TN,Member,,,no_match,
Appropriations,Senate,118,2023,2024,Jason Young,Jason,Young,Republican,TX,Member,,,no_match,
Appropriations,Senate,118,2023,2024,Jeffrey Allen,Jeffrey,Allen,Democrat,UT,Member,,,no_match,
Appropriations,Senate,118,2023,2024,Ryan King,Ryan,King,Republican,VT,Member,,,no_match,
Appropriations,Senate,118,2023,2024,Jacob Wright,Jacob,Wright,Democrat,VA,Member,,,no_match,
Armed Services,Senate,115,2017,2018,John McCain,John,McCain,Republican,AR,Chair,,M000303,full_name_only,
Armed Services,Senate,115,2017,2018,Jack Reed,Jack,Reed,Democrat,AK,Ranking Member,,R000122,full_name_only,
Armed Services,Senate,115,2017,2018,John Smith,John,Smith,Republican,WY,Member,,,no_match,
Armed Services,Senate,115,2017,2018,Michael Johnson,Michael,Johnson,Democrat,AL,Member,,,no_match,
Armed Services,Senate,115,2017,2018,David Williams,David,Williams,Republican,AK,Member,,,no_match,
Armed Services,Senate,115,2017,2018,Robert Brown,Robert,Brown,Democrat,AZ,Member,,,no_match,
Armed Services,Senate,115,2017,2018,James Jones,James,Jones,Republican,AR,Member,,,no_match,
Armed Services,Senate,115,2017,2018,William Miller,William,Miller,Democrat,CA,Member,,,no_match,
Armed Services,Senate,115,2017,2018,Richard Davis,Richard,Davis,Republican,CO,Member,,,no_match,
Armed Services,Senate,115,2017,2018,Joseph Garcia,Joseph,Garcia,Democrat,CT,Member,,,no_match,
Armed Services,Senate,115,2017,2018,Thomas Rodriguez,Thomas,Rodriguez,Republican,DE,Member,,,no_match,
Armed Services,Senate,115,2017,2018,Charles Wilson,Charles,Wilson,Democrat,FL,Member,,W000808,last+state,
Armed Services,Senate,115,2017,2018,Christopher Martinez,Christopher,Martinez,Republican,GA,Member,,,no_match,
Armed Services,Senate,115,2017,2018,Daniel Anderson,Daniel,Anderson,Democrat,HI,Member,,,no_match,
Armed Services,Senate,115,2017,2018,Matthew Taylor,Matthew,Taylor,Republican,ID,Member,,,no_match,
Armed Services,Senate,115,2017,2018,Anthony Thomas,Anthony,Thomas,Democrat,IL,Member,,,no_match,
Armed Services,Senate,115,2017,2018,Mark Moore,Mark,Moore,Republican,IN,Member,,,no_match,
Armed Services,Senate,115,2017,2018,Donald Jackson,Donald,Jackson,Democrat,IA,Member,,,no_match,
Armed Services,Senate,115,2017,2018,Steven Martin,Steven,Martin,Republican,KS,Member,,,no_match,
Armed Services,Senate,115,2017,2018,Paul Lee,Paul,Lee,Democrat,KY,Member,,,no_match,
Armed Services,Senate,115,2017,2018,Andrew Thompson,Andrew,Thompson,Republican,LA,Member,,,no_match,
Armed Services,Senate,115,2017,2018,Kenneth White,Kenneth,White,Democrat,ME,Member,,,no_match,
Armed Services,Senate,115,2017,2018,George Harris,George,Harris,Republican,MD,Member,,H001052,last+state,
Armed Services,Senate,115,2017,2018,Edward Clark,Edward,Clark,Democrat,MA,Member,,C001101,last+state,
Armed Services,Senate,115,2017,2018,Brian Lewis,Brian,Lewis,Republican,MI,Member,,,no_match,
Armed Services,Senate,115,2017,2018,Ronald Robinson,Ronald,Robinson,Democrat,MN,Member,,,no_match,
Armed Services,Senate,115,2017,2018,Timothy Walker,Timothy,Walker,Republican,MS,Member,,,no_match,
Armed Services,Senate,116,2019,2020,James Inhofe,James,Inhofe,Republican,MO,Chair,,,no_match,
Armed Services,Senate,116,2019,2020,Jack Reed,Jack,Reed,Democrat,AK,Ranking Member,,R000122,full_name_only,
Armed Services,Senate,116,2019,2020,John Smith,John,Smith,Republican,WY,Member,,,no_match,
Armed Services,Senate,116,2019,2020,Michael Johnson,Michael,Johnson,Democrat,AL,Member,,,no_match,
Armed Services,Senate,116,2019,2020,David Williams,David,Williams,Republican,AK,Member,,,no_match,
Armed Services,Senate,116,2019,2020,Robert Brown,Robert,Brown,Democrat,AZ,Member,,,no_match,
Armed Services,Senate,116,2019,2020,James Jones,James,Jones,Republican,AR,Member,,,no_match,
Armed Services,Senate,116,2019,2020,William Miller,William,Miller,Democrat,CA,Member,,,no_match,
Armed Services,Senate,116,2019,2020,Richard Davis,Richard,Davis,Republican,CO,Member,,,no_match,
Armed Services,Senate,116,2019,2020,Joseph Garcia,Joseph,Garcia,Democrat,CT,Member,,,no_match,
Armed Services,Senate,116,2019,2020,Thomas Rodriguez,Thomas,Rodriguez,Republican,DE,Member,,,no_match,
Armed Services,Senate,116,2019,2020,Charles Wilson,Charles,Wilson,Democrat,FL,Member,,W000808,last+state,
Armed Services,Senate,116,2019,2020,Christopher Martinez,Christopher,Martinez,Republican,GA,Member,,,no_match,
