ticker,sector
LLDTF,Financial Services
INFI,
RFXCQ,
CULP,Consumer Cyclical
TAK,Healthcare
JWN,
MOS,Basic Materials
HCSG,Healthcare
AIMC,
ICHR,Technology
QCOM,Technology
SOLV,Healthcare
NOTV,Healthcare
META,Communication Services
BRK.B,
RH,Consumer Cyclical
AIC1,
SWN,
TTS,
TROY,
WPP,Communication Services
BCLYF,Financial Services
AKR,Real Estate
SBFM,Healthcare
UTX,
CCLAY,
HRS,
TRINL,
FFKT,
NSRGY,Consumer Defensive
UBSI,Financial Services
ASAM1,
PPBI,
CIIG,
EXXI,
HP,Energy
RTX,Industrials
RDS-A,
WPZ,
SCHD,
CPSH,Technology
TOL,Consumer Cyclical
AVY,Consumer Cyclical
MSDA,
WRB-PG,
OC,Industrials
CXO,
AGX,Industrials
SQ,
VRSK,Industrials
HAL,Energy
VSAT,Technology
UNICY,Consumer Defensive
WDAY,Technology
PWRS,
PRU,Financial Services
MFAN,
BRDS,
BILL,Technology
MCVT,
TOR,
TQQQ,
FJTSY,Technology
ATOS,Healthcare
BRK,
SPGP,
KMG,
LGP,
ETY,Financial Services
CAH,Healthcare
CRDO,Technology
SBPYX,
H,Consumer Cyclical
NGEN,Healthcare
SPRI1,
EQM,
COR,Healthcare
FNGN,
RCII,
DHLGY,Industrials
AWK,Utilities
MITK,Technology
SAGE,
PGRE,Real Estate
LTXB,
HSIC,Healthcare
RHHBY,Healthcare
OIH,
FF,Basic Materials
SBUX,Consumer Cyclical
BLX,Financial Services
OUNZ,
BAYRY,Healthcare
ETP,
MHK,Consumer Cyclical
CNSWF,Technology
GGSM,Industrials
DINO,Energy
D,Utilities
ARES,Financial Services
SBGI,Communication Services
SKY,Consumer Cyclical
M,Consumer Cyclical
PSXP,
HIG,Financial Services
SCG,
XAR,
RYAOF,Industrials
DLB,Industrials
ORCC,
RTO,Industrials
AMBP,Consumer Cyclical
OMG,
JBT,
LEE,Communication Services
CF,Basic Materials
CLNS,
COST,Consumer Defensive
BMRRY,Consumer Defensive
MNDT,
UCI1,
IWF,
DRE,
AONNY,Consumer Cyclical
RYCEY,Industrials
COP,Energy
CNI,Industrials
HTS,
VAST,
PCTY,Technology
AMBR,Technology
ZTO,Industrials
LC,Financial Services
QUMU,
ISUZF,Consumer Cyclical
IBIT,
PFG,Financial Services
CNDT,Technology
SUSQ,
CYBX,
NMFS,
ITI,
RCRUY,Communication Services
REVB,Healthcare
CONE,
GH,Healthcare
EVEP,
TATYY,Consumer Defensive
SAM,Consumer Defensive
INVH,Real Estate
AZSEY,
STEW,Financial Services
SHECY,Basic Materials
NYC,Real Estate
FSK,Financial Services
LRNZ,
PECO,Real Estate
IR,Industrials
TIP,
ATRC,Healthcare
TUP,
HOG,Consumer Cyclical
TBPH,Healthcare
MGM,Consumer Cyclical
DBD,Technology
FE,Utilities
ERIC,Technology
ATH,
LGF.B,
HLMEX,
UMICY,Industrials
CDNA,Healthcare
LOGI,Technology
AMRC,Industrials
EOG,Energy
ESS,Real Estate
NID,
KYN,Financial Services
COWZ,
MINI,
TTDKY,Technology
VLP,
BYDDF,Consumer Cyclical
CSRA,
UE,Real Estate
PRXL,
ADSK,Technology
VIVHY,Communication Services
DVN,Energy
PDFS,Technology
HEINY,Consumer Defensive
BRC,Industrials
BIP,Utilities
HSBA,
MNRL,
NEWR,
JCI,Industrials
AXHE,
AOZOY,Financial Services
BREW,
DNBBY,Financial Services
ALLK,
BKEP,
AHLS,
UPHN,
WDS,Energy
SUSS,
LAZ,Financial Services
TFF,
TALX,
ZMH,
EBAY,Consumer Cyclical
LEARQ,
CHLKF,
BDT,
VFC,Consumer Cyclical
NAN,Financial Services
SSU,
GDRX,Healthcare
CSW,Industrials
RUK,
APU,
CHRD,Energy
FQAL,
VRAY,
BZH,Consumer Cyclical
TIF,
JHG,Financial Services
FPI,Real Estate
MDY,
FN,Technology
HUN,Basic Materials
PRA,Financial Services
OMC,Communication Services
CRON,Healthcare
WTKWY,Industrials
VNTV,
GTLB,Technology
EHC,Healthcare
VYX,Technology
QSY,
PRF,
SGI,Consumer Cyclical
PLUS,Technology
MATX,Industrials
CTRP,
FDIS,
912796SH3,
MA,Financial Services
ALPMY,Healthcare
USBI,
HESAY,Consumer Cyclical
SCHX,
VSEC,Industrials
CLRCW,
BRKS,
APPF,Technology
EIR,
ADDYY,Consumer Cyclical
KLG,
HURC,Industrials
ADM,Consumer Defensive
DIISY,
BAMXY,
CABO,Communication Services
TMK,
FIP,Industrials
TGE,Financial Services
TCO,
QGEN,Healthcare
AXP,Financial Services
MXIM,
HQY,Healthcare
FCNCB,Financial Services
ARRY,Technology
SMLP,
HENOY,Consumer Defensive
SCZ,
ALAB,Technology
WFC1,
PEGI,
LKQ,Consumer Cyclical
AAGIY,Financial Services
LUBFX,
AMRZ,Basic Materials
TLGPY,Communication Services
PKX,Basic Materials
ANGO,Healthcare
LUK,
EDPFY,Utilities
WEX,Technology
DCO,Industrials
WDFC,Basic Materials
XNGSY,Utilities
BEKE,Real Estate
PNC,Financial Services
HFRO,Financial Services
UNCA,
AM,Energy
IPHS,
ALG,Industrials
FSNUY,Healthcare
AMG,Financial Services
LZAGY,Healthcare
PKB,
LEA,Consumer Cyclical
TTNDY,Industrials
FEPIX,
MAT,Consumer Cyclical
GTCSX,
GFI,Basic Materials
HHH,Real Estate
ORLY,Consumer Cyclical
BBAI,Technology
BSTZ,Financial Services
GATX,Industrials
GE,Industrials
MTD,Healthcare
KEA,
PRNHX,
GOLD,Financial Services
PSMT,Consumer Defensive
NWN,Utilities
RGC,Healthcare
BMO,Financial Services
CLNY,
CEA,
HCOM,
KMP,
DMRC,Technology
OPRA,Communication Services
AIQUY,Basic Materials
DATA,
MAA,Real Estate
NLSN,
UUUU,Energy
EXCU,
HESM,Energy
KIM,Real Estate
DOMA,
NMR,Financial Services
RYAM,Basic Materials
REZI,Industrials
AEXAY,Technology
BLMN,Consumer Cyclical
APAM,Financial Services
IAI,
WING,Consumer Cyclical
RA,Financial Services
UFS,
MBLY,Consumer Cyclical
DALRQ,
UNTD1,
KDDIY,Communication Services
CEB,
HON,Industrials
MT,Basic Materials
USDP,Industrials
DNAY,
XLRE,
HNDL,
PGH,
ENTG,Technology
FCX,Basic Materials
QTEC,
PCNNX,
ELAN,Healthcare
HEN,
IXNZF,
ATS,Industrials
CDEV,
ELAS,
TGNA,Communication Services
MLYNF,Financial Services
FIASX,
ALBK,
IILG,
GEVO,Basic Materials
SMGIX,
ENSG,Healthcare
NVZMY,Basic Materials
ESALY,
TEVA,Healthcare
KAL,
RDS.A,
HACK,
LOW,Consumer Cyclical
HLI,Financial Services
KRFT,
ANZGY,Financial Services
JSGRY,Industrials
SGENX,
CHGG,Consumer Defensive
BLBD,Industrials
EW,Healthcare
LL,
LLYVK,Communication Services
SOUHY,Basic Materials
SBLK,Industrials
MTSI,Technology
MRKT,
ASML,Technology
GSK,Healthcare
ITCI,
MTZ,Industrials
FUPBY,Basic Materials
RBCAA,Financial Services
EQV,
GNTX,Consumer Cyclical
BAC1,
II,
ZM,Technology
SII,Financial Services
A,Healthcare
LZB,Consumer Cyclical
SKX,
TCS,
SMEZ,
NNGRY,Financial Services
BRO,Financial Services
DSKYF,Healthcare
MDGL,Healthcare
VRTS,Financial Services
MDB,Technology
ACTV1,
MSTR,Technology
ZNGA.SW,
VSM,
TKOMY,Financial Services
CSV,Consumer Cyclical
THS,Consumer Defensive
CC,Basic Materials
JFLEX,
AQUA,
EZU,
SMTA,
ELLO,Utilities
37045XEF9,
BMRN,Healthcare
PAGP,Energy
WST,Healthcare
TASR,
BLK,Financial Services
LNKD,
OKE,Energy
LSCC,Technology
RWT,Real Estate
AYR,
SINT1,
LYB,Basic Materials
APPL,
GICIX,
VNQI,
COL,
CPRI,Consumer Cyclical
VLVLY,Industrials
QTWO,Technology
CIEN,Technology
DNHBY,
PTON,Consumer Cyclical
EQT,Energy
912797LL9,
NRP,Energy
LCID,Consumer Cyclical
ED,Utilities
ICLN,
MTZPY,
GOOGL,Communication Services
EIS,
TVTY,
PDLI,
FEI,
MLPN,
FLO,Consumer Defensive
JTKWY,
TRHC,
ORKLY,Consumer Defensive
EQGP,
PAY,Technology
WNR,
LGCY,Consumer Defensive
NTDTY,Technology
NLOK,
IMBBY,Consumer Defensive
NEE.PRI,
FIMKX,
NDRE,
AGS,
CDR,
MLHR,
ASPN,Industrials
USFD,Consumer Defensive
SSNC,Technology
PETQ,
GMLP,
XP,Financial Services
INFR,
TSCDY,Consumer Defensive
FIBK,Financial Services
HXL,Industrials
NU,Financial Services
COCO,Consumer Defensive
NMC,
SRNE,Healthcare
FLWS,Consumer Cyclical
MCD,Consumer Cyclical
POWI,Technology
TIS,
BHGE,
SIG,Consumer Cyclical
HAMILTO,
PEJ,
RAS,
LEN,Consumer Cyclical
QS,Consumer Cyclical
AMC,Communication Services
SSL,Basic Materials
AIR,Industrials
IBM.MX,Technology
CARG,Consumer Cyclical
AQN,Utilities
BTO,Financial Services
OI,Consumer Cyclical
MTX,Basic Materials
TPR,Consumer Cyclical
FSUGY,Basic Materials
CLMS,
CLR,
AMP,Financial Services
BXBLY,Industrials
UPMMY,Basic Materials
VAW,
AGR,
FISV,
HUB.B,
AFL,Financial Services
DUKPA,
CNE1,
FPAFY,Consumer Defensive
KMR,
WSM,Consumer Cyclical
CHEOY,Healthcare
GSJK,
SMR,Industrials
GSSC,
AVVIY,Financial Services
SHEL,Energy
WYNN,Consumer Cyclical
IYE,
WE,
UPS,Industrials
GPC,Consumer Cyclical
CEG,Utilities
TNA,
MTUM,
DCP,
ROKU,Communication Services
MFCDX,
WAT,Healthcare
WMB,Energy
BBEP,
LGF-A,
EXPEA,
DNR,
LOLI,
AZTA,Healthcare
VC,Consumer Cyclical
JMF,
ZENV,Technology
POL,
GLD,
SQM,Basic Materials
ECHO,
NOV,Energy
912796X87,
SNE,
PROF,Healthcare
LAES,Technology
B1W8P14,
NTRA,Healthcare
TWKS,
NCMGF,
CMLFU,
PRSP,
STO,
FPE,
AGI,Basic Materials
ICON,Industrials
BATRA,Communication Services
LH,Healthcare
TBL,
XLB,
BERY,
PASO,Healthcare
BASFY,Basic Materials
CYRX,Industrials
NHF,
TNDM,Healthcare
WMFFX,
VNR,
THRM,Consumer Cyclical
CMBS,
VXX,
GASNY,Utilities
NRDBY,Financial Services
SAVE,
UVV,Consumer Defensive
FWONA,Communication Services
AMDA,
ASAZY,Industrials
EOLS,Healthcare
VER,
LNEGY,
VOX,
AMT,Real Estate
CRUS,Technology
MTBL,
CAG,Consumer Defensive
SJT,Energy
SUPN,Healthcare
PHI,Communication Services
EFC,Real Estate
MAIIX,
QLEIX,
ORBK,
GWR,
LQDT,Consumer Cyclical
BBEU,
DIN,Consumer Cyclical
IWB,
SFE,
SWTX,
JASN1,
ALVO,Healthcare
EGBN,Financial Services
CAPR,Healthcare
TAL,Consumer Defensive
SVC,Real Estate
BDX,Healthcare
TAAL,
PEI,
SMMCU,
CEMCF,
DOW,Basic Materials
SBUX.SW,
KCDMY,Consumer Defensive
VIK,Consumer Cyclical
BLKB,Technology
BAC,Financial Services
ROST,Consumer Cyclical
TCX,Technology
VRAI,
DNNGY,Utilities
TBK,
AGNC,Real Estate
PVH,Consumer Cyclical
AVP,
ARWR,Healthcare
UA,Consumer Cyclical
EFX,Industrials
OPCH,Healthcare
EVHC,
PETRY,
RSG,Industrials
BRK-A,Financial Services
EVVTY,Consumer Cyclical
BSVN,Financial Services
BEEP,Industrials
CUAEF,Energy
ATHM,Communication Services
SPG,Real Estate
FFHRX,
QTM,
WIN,
QABSY,Industrials
LAWS,
MEDP,Healthcare
UVSP,Financial Services
ACN,Technology
JNPR,
KRC,Real Estate
JHCBX,
RNR,Financial Services
IPXHY,Energy
ICOR2,
BGS,Consumer Defensive
RED,
VILLX,
CCC,Technology
JIH,
HCBK,
PHB,
ISUZY,Consumer Cyclical
DRAD,
APOS,
GTX,Consumer Cyclical
AILP,
PTMC,
IAU,
UMR,
WARFY,Real Estate
MGDDY,
EXR,Real Estate
HSY,Consumer Defensive
ENERQ,
FBSI,Financial Services
FDEV,
VCSH,
FTSI,
TXI,
TAP,Consumer Defensive
JBTM,Industrials
STL,
PHLD,
KTB,Consumer Cyclical
EEX,Communication Services
KGFHY,Consumer Cyclical
RNG,Technology
RDC,
ORMP,Healthcare
OFC,
WETF,
91282CFK2,
NCMGY,
JMP,
AIO,Financial Services
UNCFF,Financial Services
BUSE,Financial Services
ABBV,Healthcare
BF.A,
JHB,
ENV,
BH1,
INSW,Energy
IOT,Technology
YACKX,
CFFN,Financial Services
AEG,Financial Services
SPCE,Industrials
DXTR,
CPA,Industrials
APOL,
ETM,
TDY,Technology
BLOC-U,
HD,Consumer Cyclical
LI,Consumer Cyclical
DD,Basic Materials
RVI,
ARI,Real Estate
CGNX,Technology
VONE,
07/01/36,
SOAR,Industrials
JKHY,Technology
SSUMY,Industrials
AMTD,Financial Services
KRYS,Healthcare
EPTG,
FSR,
SYMBOL,
MTCIX,
CAFD,
KYOCF,Industrials
QLIK,
EMEX,
WEC,Utilities
TU,Communication Services
CDRE,Industrials
ONTY,
O-P,
SIRE,
MPLX,Energy
MLPRX,
WPC,Real Estate
RAI,
QWST,
UAA,Consumer Cyclical
ESI,Basic Materials
TLRD,
SAPE,
UFPI,Basic Materials
HDNG,
EELV,
MCO,Financial Services
MFRM,
CCMP,
PSNL,Healthcare
GFSZY,
PI,Technology
BRP,
CELC,Healthcare
PWR,Industrials
FCFS,Financial Services
BEAS,
CBPX,
VTKLY,Technology
RLI,Financial Services
WCN,Industrials
MDC,
LGI,Financial Services
TEZNY,Utilities
PSEC,Financial Services
SEP,
DSCO,
HURA,Healthcare
TV,Communication Services
JCS,
GOGO,Communication Services
CCCS,
BBH,
GCP,
QQXT,
ALV,Consumer Cyclical
MSBHY,
NWG,Financial Services
SPXC,Industrials
SH,
MNST,Consumer Defensive
RYT,
IGAF,
MDNDF,Consumer Cyclical
TRMB,Technology
SPH,Utilities
BNTGY,Basic Materials
VSLR,
CARR,Industrials
EI,
NTEST,
JAPAY,Consumer Defensive
VIAC,
BGFV,
APPAD,
SJM,Consumer Defensive
SHV,
QREARX,
MSLOY,Industrials
ORBC,
SMG,Basic Materials
CBRE,Real Estate
CERN,
CSGP,Real Estate
NVDA,Technology
AGZ,
MPET,
HES,
CMWAY,Financial Services
VNO,Real Estate
TMST,
APPY,
SMAWF,Industrials
506120KP8,
TWLO,Technology
LAND,Real Estate
ZIOP,
FDC1,
DB,Financial Services
MEAT,
EWBC,Financial Services
DSW,
NDBKY,Financial Services
MSA,Industrials
PTLC,
EQIX,Real Estate
NCMV,
NN,Technology
MDIBY,Financial Services
SUNE,Technology
WIX,Technology
TRNO,Real Estate
UCP,
PBI,Industrials
DLR,Real Estate
GNCMA,
DRQ,
THE,
ICNT,
PMTU,
VTEX,Technology
NTRS,Financial Services
STRL,Industrials
PRI,Financial Services
WB1,
SUTNY,Financial Services
TOTZF,Energy
CRHC,
ALB,Basic Materials
TEX,Industrials
LNXW,
DGRS,
AY,
CSQ,Financial Services
B923935,
ESRT,Real Estate
GLNG,Energy
RE,
PLL,
KDP,Consumer Defensive
MOH,Healthcare
CEC,
KNOP,Energy
GSP1,
PS,
DSS,Consumer Cyclical
NATL,Technology
NYLD.A,
FTR,
DSDVY,Industrials
UST1,
FRPT,Consumer Defensive
NVST,Healthcare
RXN,
TER,Technology
ENR,Industrials
CRVO,Healthcare
SITC,Real Estate
DHR,Healthcare
CY,
BLD,Industrials
JPM,Financial Services
DUOL,Technology
EQNR,Energy
IWO,
BURL,Consumer Cyclical
RDFN,
IYT,
IDT,Communication Services
ITTOY,
GBDC,Financial Services
HSHCY,Consumer Cyclical
KMB,Consumer Defensive
URS,
OKTA,Technology
IONS,Healthcare
