committee;chamber;congress;year_start;year_end;full_name;first_name;last_name;party;state;role;
Financial Services;House;117;2021;2022;Emanuel Cleaver;Emanuel;Cleaver;Democrat;MO;Member;
Financial Services;House;117;2021;2022;Ed Perlmutter;Ed;Perlmutter;Democrat;CO;Member;
Financial Services;House;117;2021;2022;Jim Himes;Jim;Himes;Democrat;CT;Member;
Financial Services;House;117;2021;2022;Bill Foster;Bill;Foster;Democrat;IL;Member;
Financial Services;House;117;2021;2022;Joyce Beatty;Joyce;Beatty;Democrat;OH;Member;
Financial Services;House;117;2021;2022;Juan Vargas;Juan;Vargas;Democrat;CA;Member;
Financial Services;House;117;2021;2022;Josh Gottheimer;Josh;Gottheimer;Democrat;NJ;Member;
Financial Services;House;117;2021;2022;Vicente Gonzalez;Vicente;Gonzalez;Democrat;TX;Member;
Financial Services;House;117;2021;2022;Al Lawson;Al;Lawson;Democrat;FL;Member;
Financial Services;House;117;2021;2022;Michael San Nicolas;Michael San;Nicolas;Democrat;GU;Member;
Financial Services;House;117;2021;2022;Cindy Axne;Cindy;Axne;Democrat;IA;Member;
Financial Services;House;117;2021;2022;Sean Casten;Sean;Casten;Democrat;IL;Member;
Financial Services;House;117;2021;2022;Ayanna Pressley;Ayanna;Pressley;Democrat;MA;Member;
Financial Services;House;117;2021;2022;Ritchie Torres;Ritchie;Torres;Democrat;NY;Member;
Financial Services;House;117;2021;2022;Stephen Lynch;Stephen;Lynch;Democrat;MA;Member;
Financial Services;House;117;2021;2022;Alma Adams;Alma;Adams;Democrat;NC;Member;
Financial Services;House;117;2021;2022;Rashida Tlaib;Rashida;Tlaib;Democrat;MI;Member;
Financial Services;House;117;2021;2022;Alexandria Ocasio-Cortez;Alexandria;Ocasio-Cortez;Democrat;NY;Member;
Financial Services;House;117;2021;2022;Madeleine Dean;Madeleine;Dean;Democrat;PA;Member;
Financial Services;House;117;2021;2022;Chuy García;Chuy;García;Democrat;IL;Member;
Financial Services;House;117;2021;2022;Sylvia Garcia;Sylvia;Garcia;Democrat;TX;Member;
Financial Services;House;117;2021;2022;Nikema Williams;Nikema;Williams;Democrat;GA;Member;
Financial Services;House;117;2021;2022;Jake Auchincloss;Jake;Auchincloss;Democrat;MA;Vice Chair;
Financial Services;House;117;2021;2022;Patrick McHenry;Patrick;McHenry;Republican;NC;Ranking Member;
Financial Services;House;117;2021;2022;Frank Lucas;Frank;Lucas;Republican;OK;Member;
Financial Services;House;117;2021;2022;Pete Sessions;Pete;Sessions;Republican;TX;Member;
Financial Services;House;117;2021;2022;Bill Posey;Bill;Posey;Republican;FL;Member;
Financial Services;House;117;2021;2022;Blaine Luetkemeyer;Blaine;Luetkemeyer;Republican;MO;Member;
Financial Services;House;117;2021;2022;Bill Huizenga;Bill;Huizenga;Republican;MI;Member;
Financial Services;House;117;2021;2022;Ann Wagner;Ann;Wagner;Republican;MO;Vice Ranking Member;
Financial Services;House;117;2021;2022;Andy Barr;Andy;Barr;Republican;KY;Member;
Financial Services;House;117;2021;2022;Roger Williams;Roger;Williams;Republican;TX;Member;
Financial Services;House;117;2021;2022;French Hill;French;Hill;Republican;AR;Member;
Financial Services;House;117;2021;2022;Tom Emmer;Tom;Emmer;Republican;MN;Member;
Financial Services;House;117;2021;2022;Lee Zeldin;Lee;Zeldin;Republican;NY;Member;
Financial Services;House;117;2021;2022;Barry Loudermilk;Barry;Loudermilk;Republican;GA;Member;
Financial Services;House;117;2021;2022;Alex Mooney;Alex;Mooney;Republican;WV;Member;
Financial Services;House;117;2021;2022;Warren Davidson;Warren;Davidson;Republican;OH;Member;
Financial Services;House;117;2021;2022;Ted Budd;Ted;Budd;Republican;NC;Member;
Financial Services;House;117;2021;2022;David Kustoff;David;Kustoff;Republican;TN;Member;
Financial Services;House;117;2021;2022;Trey Hollingsworth;Trey;Hollingsworth;Republican;IN;Member;
Financial Services;House;117;2021;2022;Anthony Gonzalez;Anthony;Gonzalez;Republican;OH;Member;
Financial Services;House;117;2021;2022;John Rose;John;Rose;Republican;TN;Member;
Financial Services;House;117;2021;2022;Bryan Steil;Bryan;Steil;Republican;WI;Member;
Financial Services;House;117;2021;2022;Lance Gooden;Lance;Gooden;Republican;TX;Member;
Financial Services;House;117;2021;2022;William Timmons;William;Timmons;Republican;SC;Member;
Financial Services;House;117;2021;2022;Van Taylor;Van;Taylor;Republican;TX;Member;
Financial Services;House;117;2021;2022;Ralph Norman;Ralph;Norman;Republican;SC;Member;
Financial Services;House;116;2019;2020;Maxine Waters;Maxine;Waters;Democrat;CA;Chair;
Financial Services;House;116;2019;2020;Carolyn Maloney;Carolyn;Maloney;Democrat;NY;Member;
Financial Services;House;116;2019;2020;Nydia Velázquez;Nydia;Velázquez;Democrat;NY;Member;
Financial Services;House;116;2019;2020;Brad Sherman;Brad;Sherman;Democrat;CA;Member;
Financial Services;House;116;2019;2020;Gregory Meeks;Gregory;Meeks;Democrat;NY;Member;
Financial Services;House;116;2019;2020;Lacy Clay;Lacy;Clay;Democrat;MO;Member;
Financial Services;House;116;2019;2020;David Scott;David;Scott;Democrat;GA;Member;
Financial Services;House;116;2019;2020;Al Green;Al;Green;Democrat;TX;Member;
Financial Services;House;116;2019;2020;Emanuel Cleaver;Emanuel;Cleaver;Democrat;MO;Member;
Financial Services;House;116;2019;2020;Ed Perlmutter;Ed;Perlmutter;Democrat;CO;Member;
Financial Services;House;116;2019;2020;Jim Himes;Jim;Himes;Democrat;CT;Member;
Financial Services;House;116;2019;2020;Bill Foster;Bill;Foster;Democrat;IL;Member;
Financial Services;House;116;2019;2020;Joyce Beatty;Joyce;Beatty;Democrat;OH;Member;
Financial Services;House;116;2019;2020;Denny Heck;Denny;Heck;Democrat;WA;Member;
Financial Services;House;116;2019;2020;Juan Vargas;Juan;Vargas;Democrat;CA;Member;
Financial Services;House;116;2019;2020;Josh Gottheimer;Josh;Gottheimer;Democrat;NJ;Member;
Financial Services;House;116;2019;2020;Vicente Gonzalez;Vicente;Gonzalez;Democrat;TX;Member;
Financial Services;House;116;2019;2020;Al Lawson;Al;Lawson;Democrat;FL;Member;
Financial Services;House;116;2019;2020;Michael San Nicolas;Michael San;Nicolas;Democrat;GU;Vice Chair;
Financial Services;House;116;2019;2020;Rashida Tlaib;Rashida;Tlaib;Democrat;MI;Member;
Financial Services;House;116;2019;2020;Katie Porter;Katie;Porter;Democrat;CA;Member;
Financial Services;House;116;2019;2020;Cindy Axne;Cindy;Axne;Democrat;IA;Member;
Financial Services;House;116;2019;2020;Sean Casten;Sean;Casten;Democrat;IL;Member;
Financial Services;House;116;2019;2020;Ayanna Pressley;Ayanna;Pressley;Democrat;MA;Member;
Financial Services;House;116;2019;2020;Ben McAdams;Ben;McAdams;Democrat;UT;Member;
Financial Services;House;116;2019;2020;Alexandria Ocasio-Cortez;Alexandria;Ocasio-Cortez;Democrat;NY;Member;
Financial Services;House;116;2019;2020;Jennifer Wexton;Jennifer;Wexton;Democrat;VA;Member;
Financial Services;House;116;2019;2020;Stephen Lynch;Stephen;Lynch;Democrat;MA;Member;
Financial Services;House;116;2019;2020;Tulsi Gabbard;Tulsi;Gabbard;Democrat;HI;Member;
Financial Services;House;116;2019;2020;Alma Adams;Alma;Adams;Democrat;NC;Member;
Financial Services;House;116;2019;2020;Madeleine Dean;Madeleine;Dean;Democrat;PA;Member;
Financial Services;House;116;2019;2020;Chuy García;Chuy;García;Democrat;IL;Member;
Financial Services;House;116;2019;2020;Sylvia Garcia;Sylvia;Garcia;Democrat;TX;Member;
Financial Services;House;116;2019;2020;Dean Phillips;Dean;Phillips;Democrat;MN;Member;
Financial Services;House;116;2019;2020;Patrick McHenry;Patrick;McHenry;Republican;NC;Ranking Member;
Financial Services;House;116;2019;2020;Frank Lucas;Frank;Lucas;Republican;OK;Member;
Financial Services;House;116;2019;2020;Bill Posey;Bill;Posey;Republican;FL;Member;
Financial Services;House;116;2019;2020;Blaine Luetkemeyer;Blaine;Luetkemeyer;Republican;MO;Member;
Financial Services;House;116;2019;2020;Bill Huizenga;Bill;Huizenga;Republican;MI;Member;
Financial Services;House;116;2019;2020;Steve Stivers;Steve;Stivers;Republican;OH;Member;
Financial Services;House;116;2019;2020;Ann Wagner;Ann;Wagner;Republican;MO;Vice Ranking Member;
Financial Services;House;116;2019;2020;Andy Barr;Andy;Barr;Republican;KY;Member;
Financial Services;House;116;2019;2020;Scott Tipton;Scott;Tipton;Republican;CO;Member;
Financial Services;House;116;2019;2020;Roger Williams;Roger;Williams;Republican;TX;Member;
Financial Services;House;116;2019;2020;French Hill;French;Hill;Republican;AR;Member;
Financial Services;House;116;2019;2020;Tom Emmer;Tom;Emmer;Republican;MN;Member;
Financial Services;House;116;2019;2020;Lee Zeldin;Lee;Zeldin;Republican;NY;Member;
Financial Services;House;116;2019;2020;Barry Loudermilk;Barry;Loudermilk;Republican;GA;Member;
Financial Services;House;116;2019;2020;Alex Mooney;Alex;Mooney;Republican;WV;Member;
Financial Services;House;116;2019;2020;Warren Davidson;Warren;Davidson;Republican;OH;Member;
Financial Services;House;116;2019;2020;Ted Budd;Ted;Budd;Republican;NC;Member;
Financial Services;House;116;2019;2020;David Kustoff;David;Kustoff;Republican;TN;Member;
Financial Services;House;116;2019;2020;Trey Hollingsworth;Trey;Hollingsworth;Republican;IN;Member;
Financial Services;House;116;2019;2020;Anthony Gonzalez;Anthony;Gonzalez;Republican;OH;Member;
Financial Services;House;116;2019;2020;John Rose;John;Rose;Republican;TN;Member;
Financial Services;House;116;2019;2020;Bryan Steil;Bryan;Steil;Republican;WI;Member;
Financial Services;House;116;2019;2020;Lance Gooden;Lance;Gooden;Republican;TX;Member;
Financial Services;House;116;2019;2020;Denver Riggleman;Denver;Riggleman;Republican;VA;Member;
Financial Services;House;116;2019;2020;William Timmons;William;Timmons;Republican;SC;Member;
Financial Services;House;116;2019;2020;Van Taylor;Van;Taylor;Republican;TX;Member;
Financial Services;House;115;2017;2018;Jeb Hensarling;Jeb;Hensarling;Republican;TX;Chair;
Financial Services;House;115;2017;2018;Peter King;Peter;King;Republican;NY;Member;
Financial Services;House;115;2017;2018;Ed Royce;Ed;Royce;Republican;CA;Member;
Financial Services;House;115;2017;2018;Frank Lucas;Frank;Lucas;Republican;OK;Member;
Financial Services;House;115;2017;2018;Patrick McHenry;Patrick;McHenry;Republican;NC;Member;
Financial Services;House;115;2017;2018;Steve Pearce;Steve;Pearce;Republican;NM;Member;
Financial Services;House;115;2017;2018;Bill Posey;Bill;Posey;Republican;FL;Member;
Financial Services;House;115;2017;2018;Blaine Luetkemeyer;Blaine;Luetkemeyer;Republican;MO;Member;
Financial Services;House;115;2017;2018;Bill Huizenga;Bill;Huizenga;Republican;MI;Member;
Financial Services;House;115;2017;2018;Sean Duffy;Sean;Duffy;Republican;WI;Member;
Financial Services;House;115;2017;2018;Steve Stivers;Steve;Stivers;Republican;OH;Member;
Financial Services;House;115;2017;2018;Randy Hultgren;Randy;Hultgren;Republican;IL;Member;
Financial Services;House;115;2017;2018;Dennis Ross;Dennis;Ross;Republican;FL;Member;
Financial Services;House;115;2017;2018;Robert Pittenger;Robert;Pittenger;Republican;NC;Member;
Financial Services;House;115;2017;2018;Ann Wagner;Ann;Wagner;Republican;MO;Member;
Financial Services;House;115;2017;2018;Andy Barr;Andy;Barr;Republican;KY;Member;
Financial Services;House;115;2017;2018;Keith Rothfus;Keith;Rothfus;Republican;PA;Member;
Financial Services;House;115;2017;2018;Luke Messer;Luke;Messer;Republican;IN;Member;
Financial Services;House;115;2017;2018;Scott Tipton;Scott;Tipton;Republican;CO;Member;
Financial Services;House;115;2017;2018;Roger Williams;Roger;Williams;Republican;TX;Member;
Financial Services;House;115;2017;2018;Bruce Poliquin;Bruce;Poliquin;Republican;ME;Member;
Financial Services;House;115;2017;2018;Mia Love;Mia;Love;Republican;UT;Member;
Financial Services;House;115;2017;2018;French Hill;French;Hill;Republican;AR;Member;
Financial Services;House;115;2017;2018;Tom Emmer;Tom;Emmer;Republican;MN;Member;
Financial Services;House;115;2017;2018;Lee Zeldin;Lee;Zeldin;Republican;NY;Member;
Financial Services;House;115;2017;2018;Dave Trott;Dave;Trott;Republican;MI;Member;
Financial Services;House;115;2017;2018;Barry Loudermilk;Barry;Loudermilk;Republican;GA;Member;
Financial Services;House;115;2017;2018;Alex Mooney;Alex;Mooney;Republican;WV;Member;
Financial Services;House;115;2017;2018;Tom MacArthur;Tom;MacArthur;Republican;NJ;Member;
Financial Services;House;115;2017;2018;Warren Davidson;Warren;Davidson;Republican;OH;Member;
Financial Services;House;115;2017;2018;Ted Budd;Ted;Budd;Republican;NC;Member;
Financial Services;House;115;2017;2018;David Kustoff;David;Kustoff;Republican;TN;Member;
Financial Services;House;115;2017;2018;Claudia Tenney;Claudia;Tenney;Republican;NY;Member;
Financial Services;House;115;2017;2018;Trey Hollingsworth;Trey;Hollingsworth;Republican;IN;Member;
Financial Services;House;115;2017;2018;Maxine Waters;Maxine;Waters;Democrat;CA;Ranking Member;
Financial Services;House;115;2017;2018;Carolyn Maloney;Carolyn;Maloney;Democrat;NY;Member;
Financial Services;House;115;2017;2018;Nydia Velázquez;Nydia;Velázquez;Democrat;NY;Member;
Financial Services;House;115;2017;2018;Brad Sherman;Brad;Sherman;Democrat;CA;Member;
Financial Services;House;115;2017;2018;Gregory Meeks;Gregory;Meeks;Democrat;NY;Member;
Financial Services;House;115;2017;2018;Michael Capuano;Michael;Capuano;Democrat;MA;Member;
Financial Services;House;115;2017;2018;Lacy Clay;Lacy;Clay;Democrat;MO;Member;
Financial Services;House;115;2017;2018;Stephen Lynch;Stephen;Lynch;Democrat;MA;Member;
Financial Services;House;115;2017;2018;David Scott;David;Scott;Democrat;GA;Member;
Financial Services;House;115;2017;2018;Al Green;Al;Green;Democrat;TX;Member;
Financial Services;House;115;2017;2018;Emanuel Cleaver;Emanuel;Cleaver;Democrat;MO;Member;
Financial Services;House;115;2017;2018;Gwen Moore;Gwen;Moore;Democrat;WI;Member;
Financial Services;House;115;2017;2018;Keith Ellison;Keith;Ellison;Democrat;MN;Member;
Financial Services;House;115;2017;2018;Ed Perlmutter;Ed;Perlmutter;Democrat;CO;Member;
Financial Services;House;115;2017;2018;Jim Himes;Jim;Himes;Democrat;CT;Member;
Financial Services;House;115;2017;2018;Bill Foster;Bill;Foster;Democrat;IL;Member;
Financial Services;House;115;2017;2018;Dan Kildee;Dan;Kildee;Democrat;MI;Vice Ranking Member;
Financial Services;House;115;2017;2018;John Delaney;John;Delaney;Democrat;MD;Member;
Financial Services;House;115;2017;2018;Kyrsten Sinema;Kyrsten;Sinema;Democrat;AZ;Member;
Financial Services;House;115;2017;2018;Joyce Beatty;Joyce;Beatty;Democrat;OH;Member;
Financial Services;House;115;2017;2018;Denny Heck;Denny;Heck;Democrat;WA;Member;
Financial Services;House;115;2017;2018;Juan Vargas;Juan;Vargas;Democrat;CA;Member;
Financial Services;House;115;2017;2018;Josh Gottheimer;Josh;Gottheimer;Democrat;NJ;Member;
Financial Services;House;115;2017;2018;Vicente Gonzalez;Vicente;Gonzalez;Democrat;TX;Member;
Financial Services;House;115;2017;2018;Charlie Crist;Charlie;Crist;Democrat;FL;Member;
Financial Services;House;115;2017;2018;Ruben Kihuen;Ruben;Kihuen;Democrat;NV;Member;
Ways and Means;House;118;2023;2024;Jason Smith;Jason;Smith;Republican;MO;Chair;
Ways and Means;House;118;2023;2024;Vern Buchanan;Vern;Buchanan;Republican;FL;Member;
Ways and Means;House;118;2023;2024;Adrian Smith;Adrian;Smith;Republican;NE;Member;
Ways and Means;House;118;2023;2024;Mike Kelly;Mike;Kelly;Republican;PA;Member;
Ways and Means;House;118;2023;2024;David Schweikert;David;Schweikert;Republican;AZ;Member;
Ways and Means;House;118;2023;2024;Darin LaHood;Darin;LaHood;Republican;IL;Member;
Ways and Means;House;118;2023;2024;Brad Wenstrup;Brad;Wenstrup;Republican;OH;Member;
Ways and Means;House;118;2023;2024;Jodey Arrington;Jodey;Arrington;Republican;TX;Member;
Ways and Means;House;118;2023;2024;Drew Ferguson;Drew;Ferguson;Republican;GA;Member;
Ways and Means;House;118;2023;2024;Ron Estes;Ron;Estes;Republican;KS;Member;
Ways and Means;House;118;2023;2024;Lloyd Smucker;Lloyd;Smucker;Republican;PA;Member;
Ways and Means;House;118;2023;2024;Kevin Hern;Kevin;Hern;Republican;OK;Member;
Ways and Means;House;118;2023;2024;Carol Miller;Carol;Miller;Republican;WV;Member;
Ways and Means;House;118;2023;2024;Greg Steube;Greg;Steube;Republican;FL;Member;
Ways and Means;House;118;2023;2024;Michelle Steel;Michelle;Steel;Republican;CA;Member;
Ways and Means;House;118;2023;2024;Beth Van Duyne;Beth Van;Duyne;Republican;TX;Member;
Ways and Means;House;118;2023;2024;Randy Feenstra;Randy;Feenstra;Republican;IA;Member;
Ways and Means;House;118;2023;2024;Michelle Fischbach;Michelle;Fischbach;Republican;MN;Member;
Ways and Means;House;118;2023;2024;Blake Moore;Blake;Moore;Republican;UT;Member;
Ways and Means;House;118;2023;2024;David Kustoff;David;Kustoff;Republican;TN;Member;
Ways and Means;House;118;2023;2024;Brad Finstad;Brad;Finstad;Republican;MN;Member;
Ways and Means;House;118;2023;2024;Claudia Tenney;Claudia;Tenney;Republican;NY;Member;
Ways and Means;House;118;2023;2024;Mike Carey;Mike;Carey;Republican;OH;Member;
Ways and Means;House;118;2023;2024;Nicole Malliotakis;Nicole;Malliotakis;Republican;NY;Member;
Ways and Means;House;118;2023;2024;Erin Houchin;Erin;Houchin;Republican;IN;Member;
Ways and Means;House;118;2023;2024;Richard Neal;Richard;Neal;Democrat;MA;Ranking Member;
Ways and Means;House;118;2023;2024;Lloyd Doggett;Lloyd;Doggett;Democrat;TX;Member;
Ways and Means;House;118;2023;2024;Mike Thompson;Mike;Thompson;Democrat;CA;Member;
Ways and Means;House;118;2023;2024;John Larson;John;Larson;Democrat;CT;Member;
Ways and Means;House;118;2023;2024;Earl Blumenauer;Earl;Blumenauer;Democrat;OR;Member;
Ways and Means;House;118;2023;2024;Ron Kind;Ron;Kind;Democrat;WI;Member;
Ways and Means;House;118;2023;2024;Bill Pascrell;Bill;Pascrell;Democrat;NJ;Member;
Ways and Means;House;118;2023;2024;Danny Davis;Danny;Davis;Democrat;IL;Member;
Ways and Means;House;118;2023;2024;Linda Sánchez;Linda;Sánchez;Democrat;CA;Member;
Ways and Means;House;118;2023;2024;Brian Higgins;Brian;Higgins;Democrat;NY;Member;
Ways and Means;House;118;2023;2024;Terri Sewell;Terri;Sewell;Democrat;AL;Member;
Ways and Means;House;118;2023;2024;Suzan DelBene;Suzan;DelBene;Democrat;WA;Member;
Ways and Means;House;118;2023;2024;Judy Chu;Judy;Chu;Democrat;CA;Member;
Ways and Means;House;118;2023;2024;Gwen Moore;Gwen;Moore;Democrat;WI;Member;
Ways and Means;House;118;2023;2024;Dan Kildee;Dan;Kildee;Democrat;MI;Member;
Ways and Means;House;118;2023;2024;Brendan Boyle;Brendan;Boyle;Democrat;PA;Member;
Ways and Means;House;118;2023;2024;Don Beyer;Don;Beyer;Democrat;VA;Member;
Ways and Means;House;118;2023;2024;Dwight Evans;Dwight;Evans;Democrat;PA;Member;
Ways and Means;House;117;2021;2022;Richard Neal;Richard;Neal;Democrat;MA;Chair;
Ways and Means;House;117;2021;2022;Lloyd Doggett;Lloyd;Doggett;Democrat;TX;Member;
Ways and Means;House;117;2021;2022;Mike Thompson;Mike;Thompson;Democrat;CA;Member;
Ways and Means;House;117;2021;2022;John Larson;John;Larson;Democrat;CT;Member;
Ways and Means;House;117;2021;2022;Earl Blumenauer;Earl;Blumenauer;Democrat;OR;Member;
Ways and Means;House;117;2021;2022;Ron Kind;Ron;Kind;Democrat;WI;Member;
Ways and Means;House;117;2021;2022;Bill Pascrell;Bill;Pascrell;Democrat;NJ;Member;
Ways and Means;House;117;2021;2022;Danny Davis;Danny;Davis;Democrat;IL;Member;
Ways and Means;House;117;2021;2022;Linda Sánchez;Linda;Sánchez;Democrat;CA;Member;
Ways and Means;House;117;2021;2022;Brian Higgins;Brian;Higgins;Democrat;NY;Member;
Ways and Means;House;117;2021;2022;Terri Sewell;Terri;Sewell;Democrat;AL;Member;
Ways and Means;House;117;2021;2022;Suzan DelBene;Suzan;DelBene;Democrat;WA;Member;
Ways and Means;House;117;2021;2022;Judy Chu;Judy;Chu;Democrat;CA;Member;
Ways and Means;House;117;2021;2022;Gwen Moore;Gwen;Moore;Democrat;WI;Member;
Ways and Means;House;117;2021;2022;Dan Kildee;Dan;Kildee;Democrat;MI;Member;
Ways and Means;House;117;2021;2022;Brendan Boyle;Brendan;Boyle;Democrat;PA;Member;
Ways and Means;House;117;2021;2022;Don Beyer;Don;Beyer;Democrat;VA;Member;
Ways and Means;House;117;2021;2022;Dwight Evans;Dwight;Evans;Democrat;PA;Member;
Ways and Means;House;117;2021;2022;Brad Schneider;Brad;Schneider;Democrat;IL;Member;
Ways and Means;House;117;2021;2022;Tom Suozzi;Tom;Suozzi;Democrat;NY;Member;
Ways and Means;House;117;2021;2022;Jimmy Panetta;Jimmy;Panetta;Democrat;CA;Member;
Ways and Means;House;117;2021;2022;Stephanie Murphy;Stephanie;Murphy;Democrat;FL;Member;
Ways and Means;House;117;2021;2022;Jimmy Gomez;Jimmy;Gomez;Democrat;CA;Member;
Ways and Means;House;117;2021;2022;Steven Horsford;Steven;Horsford;Democrat;NV;Member;
Ways and Means;House;117;2021;2022;Kevin Brady;Kevin;Brady;Republican;TX;Ranking Member;
Ways and Means;House;117;2021;2022;Vern Buchanan;Vern;Buchanan;Republican;FL;Member;
Ways and Means;House;117;2021;2022;Adrian Smith;Adrian;Smith;Republican;NE;Member;
Ways and Means;House;117;2021;2022;Mike Kelly;Mike;Kelly;Republican;PA;Member;
Ways and Means;House;117;2021;2022;Jason Smith;Jason;Smith;Republican;MO;Member;
Ways and Means;House;117;2021;2022;Tom Reed;Tom;Reed;Republican;NY;Member;
Ways and Means;House;117;2021;2022;David Schweikert;David;Schweikert;Republican;AZ;Member;
Ways and Means;House;117;2021;2022;Darin LaHood;Darin;LaHood;Republican;IL;Member;
Ways and Means;House;117;2021;2022;Brad Wenstrup;Brad;Wenstrup;Republican;OH;Member;
Ways and Means;House;117;2021;2022;Jodey Arrington;Jodey;Arrington;Republican;TX;Member;
Ways and Means;House;117;2021;2022;Drew Ferguson;Drew;Ferguson;Republican;GA;Member;
Ways and Means;House;117;2021;2022;Ron Estes;Ron;Estes;Republican;KS;Member;
Ways and Means;House;117;2021;2022;Lloyd Smucker;Lloyd;Smucker;Republican;PA;Member;
Ways and Means;House;117;2021;2022;Kevin Hern;Kevin;Hern;Republican;OK;Member;
Ways and Means;House;117;2021;2022;Carol Miller;Carol;Miller;Republican;WV;Member;
Ways and Means;House;117;2021;2022;Greg Steube;Greg;Steube;Republican;FL;Member;
Ways and Means;House;117;2021;2022;Michelle Steel;Michelle;Steel;Republican;CA;Member;
Ways and Means;House;116;2019;2020;Richard Neal;Richard;Neal;Democrat;MA;Chair;
Ways and Means;House;116;2019;2020;John Lewis;John;Lewis;Democrat;GA;Member;
Ways and Means;House;116;2019;2020;Lloyd Doggett;Lloyd;Doggett;Democrat;TX;Member;
Ways and Means;House;116;2019;2020;Mike Thompson;Mike;Thompson;Democrat;CA;Member;
Ways and Means;House;116;2019;2020;John Larson;John;Larson;Democrat;CT;Member;
Ways and Means;House;116;2019;2020;Earl Blumenauer;Earl;Blumenauer;Democrat;OR;Member;
Ways and Means;House;116;2019;2020;Ron Kind;Ron;Kind;Democrat;WI;Member;
Ways and Means;House;116;2019;2020;Bill Pascrell;Bill;Pascrell;Democrat;NJ;Member;
Ways and Means;House;116;2019;2020;Danny Davis;Danny;Davis;Democrat;IL;Member;
Ways and Means;House;116;2019;2020;Linda Sánchez;Linda;Sánchez;Democrat;CA;Member;
